time,position,temperature,voltage
09-Nov-2023 16:08:28,498,35,7312
09-Nov-2023 16:08:28,497,35,7292
09-Nov-2023 16:08:28,497,35,7317
09-Nov-2023 16:08:29,497,35,7325
09-Nov-2023 16:08:29,497,35,7330
09-Nov-2023 16:08:29,498,35,7301
09-Nov-2023 16:08:29,497,35,7317
09-Nov-2023 16:08:29,498,35,7332
09-Nov-2023 16:08:30,502,35,7325
09-Nov-2023 16:08:30,497,35,7301
09-Nov-2023 16:08:30,498,35,7297
09-Nov-2023 16:08:31,500,35,7359
09-Nov-2023 16:08:31,499,35,7356
09-Nov-2023 16:08:31,499,34,7343
09-Nov-2023 16:08:31,499,34,7341
09-Nov-2023 16:08:32,499,34,7343
09-Nov-2023 16:08:32,497,34,7332
09-Nov-2023 16:08:32,500,34,7283
09-Nov-2023 16:08:32,499,33,7336
09-Nov-2023 16:08:33,499,33,7314
09-Nov-2023 16:08:33,499,33,7352
09-Nov-2023 16:08:33,499,33,7299
09-Nov-2023 16:08:33,499,33,7310
09-Nov-2023 16:08:34,499,33,7265
09-Nov-2023 16:08:34,500,33,7345
09-Nov-2023 16:08:34,498,33,7325
09-Nov-2023 16:08:35,499,33,7339
09-Nov-2023 16:08:35,499,32,7319
09-Nov-2023 16:08:35,500,32,7343
09-Nov-2023 16:08:35,499,32,7308
09-Nov-2023 16:08:36,499,32,7350
09-Nov-2023 16:08:36,499,32,7365
09-Nov-2023 16:08:36,500,32,7319
09-Nov-2023 16:08:36,499,32,7299
09-Nov-2023 16:08:37,499,32,7310
09-Nov-2023 16:08:37,498,32,7308
09-Nov-2023 16:08:37,499,32,7363
09-Nov-2023 16:08:37,499,32,7303
09-Nov-2023 16:08:37,499,32,7332
09-Nov-2023 16:08:38,499,32,7301
09-Nov-2023 16:08:38,499,32,7330
09-Nov-2023 16:08:38,499,32,7319
09-Nov-2023 16:08:38,499,31,7356
09-Nov-2023 16:08:39,499,31,7272
09-Nov-2023 16:08:39,499,31,7328
09-Nov-2023 16:08:39,499,31,7321
09-Nov-2023 16:08:40,499,31,7294
09-Nov-2023 16:08:40,499,31,7303
09-Nov-2023 16:08:40,499,31,7345
09-Nov-2023 16:08:40,499,31,7285
09-Nov-2023 16:08:41,499,31,7305
09-Nov-2023 16:08:41,499,31,7350
09-Nov-2023 16:08:41,499,31,7354
09-Nov-2023 16:08:42,499,31,7317
09-Nov-2023 16:08:42,499,31,7290
09-Nov-2023 16:08:42,499,31,7332
09-Nov-2023 16:08:42,499,31,7350
09-Nov-2023 16:08:43,499,31,7339
09-Nov-2023 16:08:43,499,31,7299
09-Nov-2023 16:08:43,499,31,7314
09-Nov-2023 16:08:43,500,31,7319
09-Nov-2023 16:08:44,499,31,7294
09-Nov-2023 16:08:44,499,31,7339
09-Nov-2023 16:08:44,499,31,7323
09-Nov-2023 16:08:45,499,31,7341
09-Nov-2023 16:08:45,499,31,7312
09-Nov-2023 16:08:45,499,31,7354
09-Nov-2023 16:08:45,500,30,7328
09-Nov-2023 16:08:45,498,30,7325
09-Nov-2023 16:08:46,499,30,7319
09-Nov-2023 16:08:46,500,30,7336
09-Nov-2023 16:08:46,500,30,7294
09-Nov-2023 16:08:46,499,30,7341
09-Nov-2023 16:08:47,499,30,7312
09-Nov-2023 16:08:47,499,30,7363
09-Nov-2023 16:08:47,499,30,7348
09-Nov-2023 16:08:47,500,30,7339
09-Nov-2023 16:08:48,499,30,7294
09-Nov-2023 16:08:48,499,30,7361
09-Nov-2023 16:08:48,498,30,7343
09-Nov-2023 16:08:48,499,30,7325
09-Nov-2023 16:08:49,500,30,7321
09-Nov-2023 16:08:49,499,30,7350
09-Nov-2023 16:08:49,499,30,7365
09-Nov-2023 16:08:50,499,30,7385
09-Nov-2023 16:08:50,499,30,7341
09-Nov-2023 16:08:50,499,30,7334
09-Nov-2023 16:08:50,499,30,7328
09-Nov-2023 16:08:51,499,30,7361
09-Nov-2023 16:08:51,500,30,7277
09-Nov-2023 16:08:51,499,30,7328
09-Nov-2023 16:08:51,500,30,7319
09-Nov-2023 16:08:52,499,30,7350
09-Nov-2023 16:08:52,499,30,7319
09-Nov-2023 16:08:52,499,30,7270
09-Nov-2023 16:08:52,499,30,7283
09-Nov-2023 16:08:53,500,30,7314
09-Nov-2023 16:08:53,499,30,7350
09-Nov-2023 16:08:53,499,30,7268
09-Nov-2023 16:08:54,499,30,7228
09-Nov-2023 16:08:54,499,30,7248
09-Nov-2023 16:08:54,499,30,7110
09-Nov-2023 16:08:55,500,30,7290
09-Nov-2023 16:08:55,499,30,7270
09-Nov-2023 16:08:55,499,30,7152
09-Nov-2023 16:08:55,499,30,7252
09-Nov-2023 16:08:56,500,30,7294
09-Nov-2023 16:08:56,499,30,7310
09-Nov-2023 16:08:56,499,30,7297
09-Nov-2023 16:08:57,499,30,7361
09-Nov-2023 16:08:57,499,30,7308
09-Nov-2023 16:08:57,499,30,7343
09-Nov-2023 16:08:57,499,30,7319
09-Nov-2023 16:08:58,499,30,7314
09-Nov-2023 16:08:58,499,30,7268
09-Nov-2023 16:08:58,499,30,7301
09-Nov-2023 16:08:58,499,30,7285
09-Nov-2023 16:08:59,499,30,7341
09-Nov-2023 16:08:59,499,30,7279
09-Nov-2023 16:08:59,500,30,7301
09-Nov-2023 16:08:59,499,30,7283
09-Nov-2023 16:09:00,500,30,7319
09-Nov-2023 16:09:00,499,30,7312
09-Nov-2023 16:09:00,499,30,7343
09-Nov-2023 16:09:01,499,30,7372
09-Nov-2023 16:09:01,499,29,7323
09-Nov-2023 16:09:01,499,29,7321
09-Nov-2023 16:09:01,499,29,7308
09-Nov-2023 16:09:02,499,29,7321
09-Nov-2023 16:09:02,499,29,7274
09-Nov-2023 16:09:02,499,29,7323
09-Nov-2023 16:09:03,499,29,7321
09-Nov-2023 16:09:03,499,29,7350
09-Nov-2023 16:09:03,499,29,7323
09-Nov-2023 16:09:03,499,29,7166
09-Nov-2023 16:09:04,499,29,7301
09-Nov-2023 16:09:04,499,29,7332
09-Nov-2023 16:09:04,499,253,7055
09-Nov-2023 16:09:05,499,29,7336
09-Nov-2023 16:09:05,499,29,7305
