time,position,temperature,voltage,label
20-Nov-2023 15:22:29,501,47,7159,0
20-Nov-2023 15:22:29,501,47,7168,0
20-Nov-2023 15:22:30,502,47,7168,0
20-Nov-2023 15:22:30,501,47,7150,0
20-Nov-2023 15:22:30,502,47,7155,0
20-Nov-2023 15:22:30,501,47,7166,0
20-Nov-2023 15:22:31,501,47,7137,0
20-Nov-2023 15:22:31,502,47,7159,0
20-Nov-2023 15:22:31,501,47,7155,0
20-Nov-2023 15:22:31,502,47,7075,0
20-Nov-2023 15:22:32,502,47,7144,0
20-Nov-2023 15:22:32,501,47,7146,0
20-Nov-2023 15:22:32,501,47,7157,0
20-Nov-2023 15:22:32,502,47,7163,0
20-Nov-2023 15:22:32,502,47,7157,0
20-Nov-2023 15:22:33,501,47,7144,0
20-Nov-2023 15:22:33,502,47,7146,0
20-Nov-2023 15:22:33,502,47,7155,0
20-Nov-2023 15:22:33,501,47,7146,0
20-Nov-2023 15:22:33,502,47,7157,0
20-Nov-2023 15:22:34,501,47,7148,0
20-Nov-2023 15:22:34,501,47,7152,0
20-Nov-2023 15:22:34,501,47,7068,0
20-Nov-2023 15:22:34,501,47,7095,0
20-Nov-2023 15:22:34,501,47,7150,0
20-Nov-2023 15:22:35,502,47,7144,0
20-Nov-2023 15:22:35,501,47,7148,0
20-Nov-2023 15:22:35,501,46,7095,0
20-Nov-2023 15:22:35,501,47,7152,0
20-Nov-2023 15:22:37,501,47,7137,0
20-Nov-2023 15:22:37,501,47,7155,0
20-Nov-2023 15:22:37,501,47,7159,0
20-Nov-2023 15:22:37,501,47,7141,0
20-Nov-2023 15:22:37,501,47,7092,0
20-Nov-2023 15:22:38,501,47,7075,0
20-Nov-2023 15:22:39,502,47,7141,0
20-Nov-2023 15:22:39,501,47,7152,0
20-Nov-2023 15:22:39,501,47,7110,0
20-Nov-2023 15:22:39,501,47,7084,0
20-Nov-2023 15:22:39,501,47,7146,0
20-Nov-2023 15:22:39,501,47,7166,0
20-Nov-2023 15:22:40,502,47,7146,0
20-Nov-2023 15:22:40,501,47,7148,0
20-Nov-2023 15:22:41,501,47,7168,0
20-Nov-2023 15:22:41,501,47,7161,0
20-Nov-2023 15:22:41,501,47,7199,0
20-Nov-2023 15:22:41,502,47,7159,0
20-Nov-2023 15:22:41,501,46,7175,0
20-Nov-2023 15:22:41,501,47,7166,0
20-Nov-2023 15:22:41,502,47,7181,0
20-Nov-2023 15:22:41,501,47,7152,0
20-Nov-2023 15:22:42,501,47,7159,0
20-Nov-2023 15:22:42,501,47,7159,0
20-Nov-2023 15:22:42,501,47,7155,0
20-Nov-2023 15:22:42,501,47,7130,0
20-Nov-2023 15:22:42,501,47,7150,0
20-Nov-2023 15:22:42,501,47,7152,0
20-Nov-2023 15:22:42,501,47,7141,0
20-Nov-2023 15:22:42,502,47,7148,0
20-Nov-2023 15:22:42,501,46,7077,0
20-Nov-2023 15:22:42,501,46,7159,0
20-Nov-2023 15:22:42,501,47,7137,0
20-Nov-2023 15:22:43,501,46,7150,0
20-Nov-2023 15:22:43,501,46,7217,0
20-Nov-2023 15:22:43,501,46,7081,0
20-Nov-2023 15:22:43,502,46,7161,0
20-Nov-2023 15:22:43,501,46,7135,0
20-Nov-2023 15:22:43,501,46,7170,0
20-Nov-2023 15:22:43,501,46,7157,0
20-Nov-2023 15:22:44,501,46,7161,0
20-Nov-2023 15:22:44,501,46,7159,1
20-Nov-2023 15:22:44,501,45,7110,1
20-Nov-2023 15:22:44,501,45,7068,1
20-Nov-2023 15:22:44,501,45,7130,1
20-Nov-2023 15:22:45,501,45,7128,1
20-Nov-2023 15:22:45,501,45,7146,1
20-Nov-2023 15:22:45,501,45,7148,1
20-Nov-2023 15:22:45,501,45,7155,1
20-Nov-2023 15:22:45,501,45,7172,1
20-Nov-2023 15:22:46,501,45,7155,1
20-Nov-2023 15:22:46,501,45,7137,1
20-Nov-2023 15:22:46,501,45,7159,1
20-Nov-2023 15:22:46,501,45,7161,1
20-Nov-2023 15:22:46,501,45,7161,1
20-Nov-2023 15:22:47,501,45,7155,1
20-Nov-2023 15:22:47,501,45,7157,1
20-Nov-2023 15:22:47,502,45,7155,1
20-Nov-2023 15:22:47,501,45,7139,1
20-Nov-2023 15:22:48,502,45,7150,1
20-Nov-2023 15:22:48,501,45,7141,1
20-Nov-2023 15:22:48,501,45,7152,1
20-Nov-2023 15:22:48,501,45,7161,1
20-Nov-2023 15:22:48,501,45,7161,1
20-Nov-2023 15:22:48,501,45,7163,1
20-Nov-2023 15:22:49,501,45,7092,1
20-Nov-2023 15:22:49,502,45,7159,1
20-Nov-2023 15:22:49,502,45,7146,1
20-Nov-2023 15:22:49,501,45,7130,1
20-Nov-2023 15:22:49,501,45,7161,1
20-Nov-2023 15:22:50,501,45,7144,1
20-Nov-2023 15:22:50,501,45,7075,1
20-Nov-2023 15:22:50,502,45,7144,1
20-Nov-2023 15:22:51,501,45,7150,1
20-Nov-2023 15:22:51,501,45,7157,1
20-Nov-2023 15:22:51,501,45,7157,1
20-Nov-2023 15:22:51,501,45,7237,1
20-Nov-2023 15:22:52,501,45,7079,1
20-Nov-2023 15:22:52,501,45,7139,1
20-Nov-2023 15:22:52,502,45,7130,1
20-Nov-2023 15:22:52,502,45,7084,1
20-Nov-2023 15:22:52,502,45,7053,1
20-Nov-2023 15:22:52,502,45,7013,1
20-Nov-2023 15:22:53,502,45,6939,1
20-Nov-2023 15:22:53,502,45,6917,1
20-Nov-2023 15:22:53,502,45,6480,1
20-Nov-2023 15:22:53,502,45,6423,1
20-Nov-2023 15:22:53,503,45,6673,1
20-Nov-2023 15:22:53,502,45,6505,1
20-Nov-2023 15:22:54,521,45,6973,1
20-Nov-2023 15:22:54,560,45,7035,1
20-Nov-2023 15:22:54,607,45,7066,1
20-Nov-2023 15:22:54,653,46,7124,1
20-Nov-2023 15:22:54,694,46,7019,1
20-Nov-2023 15:22:55,720,46,7017,1
20-Nov-2023 15:22:55,720,46,7022,1
20-Nov-2023 15:22:55,720,46,7035,1
20-Nov-2023 15:22:55,720,46,7004,1
20-Nov-2023 15:22:55,720,46,6993,1
20-Nov-2023 15:22:56,720,46,7039,1
20-Nov-2023 15:22:56,720,46,7019,1
20-Nov-2023 15:22:56,720,46,7017,1
20-Nov-2023 15:22:56,720,46,7035,1
20-Nov-2023 15:22:57,720,46,7013,1
20-Nov-2023 15:22:57,720,46,6999,1
20-Nov-2023 15:22:57,720,46,7006,1
20-Nov-2023 15:22:57,720,46,6990,1
20-Nov-2023 15:22:57,720,45,6997,1
20-Nov-2023 15:22:57,719,45,7013,1
20-Nov-2023 15:22:58,720,45,7008,1
20-Nov-2023 15:22:58,720,45,6993,1
20-Nov-2023 15:22:58,720,45,6986,1
20-Nov-2023 15:22:58,720,45,6986,1
20-Nov-2023 15:22:58,720,45,7015,1
20-Nov-2023 15:22:59,720,45,7017,1
20-Nov-2023 15:22:59,720,45,7008,1
20-Nov-2023 15:22:59,720,45,6984,1
20-Nov-2023 15:22:59,720,45,7015,1
20-Nov-2023 15:23:00,720,45,7022,1
20-Nov-2023 15:23:01,720,45,7013,1
20-Nov-2023 15:23:01,720,45,7019,1
20-Nov-2023 15:23:01,720,45,6993,1
20-Nov-2023 15:23:01,720,45,6988,1
20-Nov-2023 15:23:02,720,45,6995,1
20-Nov-2023 15:23:03,720,45,6911,1
20-Nov-2023 15:23:03,720,45,7006,1
20-Nov-2023 15:23:04,720,45,7013,1
20-Nov-2023 15:23:04,720,45,7002,1
20-Nov-2023 15:23:04,720,45,6507,1
20-Nov-2023 15:23:04,720,45,6256,1
20-Nov-2023 15:23:04,720,45,5893,1
20-Nov-2023 15:23:04,720,45,5897,1
20-Nov-2023 15:23:05,720,45,6130,1
20-Nov-2023 15:23:05,720,45,6079,1
20-Nov-2023 15:23:05,720,45,6043,1
20-Nov-2023 15:23:05,721,46,5950,1
20-Nov-2023 15:23:06,720,46,6962,1
20-Nov-2023 15:23:06,720,46,6711,1
20-Nov-2023 15:23:07,720,46,6429,1
20-Nov-2023 15:23:07,720,46,6117,1
20-Nov-2023 15:23:07,720,46,5972,1
20-Nov-2023 15:23:07,721,46,5970,1
20-Nov-2023 15:23:07,720,46,5910,1
20-Nov-2023 15:23:07,720,46,5897,1
20-Nov-2023 15:23:07,720,46,6043,1
20-Nov-2023 15:23:07,720,46,5930,1
20-Nov-2023 15:23:07,720,46,5866,1
20-Nov-2023 15:23:07,720,46,5941,1
20-Nov-2023 15:23:07,720,46,5919,1
20-Nov-2023 15:23:07,720,46,6074,1
20-Nov-2023 15:23:07,720,46,6081,1
20-Nov-2023 15:23:07,720,46,6103,1
20-Nov-2023 15:23:07,720,46,6061,1
20-Nov-2023 15:23:08,720,46,6079,1
20-Nov-2023 15:23:08,720,46,6019,1
20-Nov-2023 15:23:08,720,46,6152,1
20-Nov-2023 15:23:08,720,46,5990,1
20-Nov-2023 15:23:08,720,46,5961,1
20-Nov-2023 15:23:08,720,46,5979,1
20-Nov-2023 15:23:08,720,46,6008,1
20-Nov-2023 15:23:09,720,46,5959,1
20-Nov-2023 15:23:09,720,46,6019,1
20-Nov-2023 15:23:09,720,46,6008,1
20-Nov-2023 15:23:09,720,46,5975,1
20-Nov-2023 15:23:09,720,46,5952,1
20-Nov-2023 15:23:09,720,46,5984,1
20-Nov-2023 15:23:09,721,46,5924,1
20-Nov-2023 15:23:10,720,46,5995,1
20-Nov-2023 15:23:10,720,46,5924,1
20-Nov-2023 15:23:10,720,46,5975,1
20-Nov-2023 15:23:10,720,46,5997,1
20-Nov-2023 15:23:10,720,46,5957,1
20-Nov-2023 15:23:10,720,46,6012,1
20-Nov-2023 15:23:10,720,46,5992,1
20-Nov-2023 15:23:10,719,46,6003,1
20-Nov-2023 15:23:10,720,46,6017,1
20-Nov-2023 15:23:11,720,46,5984,1
20-Nov-2023 15:23:11,721,46,5948,1
20-Nov-2023 15:23:11,720,46,5915,1
20-Nov-2023 15:23:11,720,46,5804,1
20-Nov-2023 15:23:11,720,46,5886,1
20-Nov-2023 15:23:12,720,47,5835,1
20-Nov-2023 15:23:12,720,46,5921,1
20-Nov-2023 15:23:12,720,47,5939,1
20-Nov-2023 15:23:12,720,47,5901,1
20-Nov-2023 15:23:12,720,47,5933,1
20-Nov-2023 15:23:13,721,47,5881,1
20-Nov-2023 15:23:13,721,47,5866,1
20-Nov-2023 15:23:13,720,47,5844,1
20-Nov-2023 15:23:13,720,47,5904,1
20-Nov-2023 15:23:13,720,47,5662,1
20-Nov-2023 15:23:14,720,47,5788,1
20-Nov-2023 15:23:14,720,47,5782,1
20-Nov-2023 15:23:14,720,47,5740,1
20-Nov-2023 15:23:14,720,47,5815,1
20-Nov-2023 15:23:14,720,47,5700,1
20-Nov-2023 15:23:14,720,47,5875,1
20-Nov-2023 15:23:15,720,47,5921,1
20-Nov-2023 15:23:15,720,47,5855,1
20-Nov-2023 15:23:15,720,47,5782,1
20-Nov-2023 15:23:15,720,47,5839,1
20-Nov-2023 15:23:16,720,47,5897,1
20-Nov-2023 15:23:16,721,47,5815,1
20-Nov-2023 15:23:16,720,47,5857,1
20-Nov-2023 15:23:17,720,47,5853,1
20-Nov-2023 15:23:17,720,48,5844,1
20-Nov-2023 15:23:17,721,48,5917,1
20-Nov-2023 15:23:17,720,48,5888,1
20-Nov-2023 15:23:17,720,48,5877,1
20-Nov-2023 15:23:17,720,48,5853,1
20-Nov-2023 15:23:17,720,48,5895,1
20-Nov-2023 15:23:18,720,48,5906,1
20-Nov-2023 15:23:18,720,48,5888,1
20-Nov-2023 15:23:18,720,48,5926,0
20-Nov-2023 15:23:19,720,48,5992,0
20-Nov-2023 15:23:19,720,48,5950,0
20-Nov-2023 15:23:19,720,48,5957,0
20-Nov-2023 15:23:19,720,48,5995,0
20-Nov-2023 15:23:20,720,48,5986,0
20-Nov-2023 15:23:20,720,48,5988,0
20-Nov-2023 15:23:20,720,48,5952,0
20-Nov-2023 15:23:20,720,48,5939,0
20-Nov-2023 15:23:20,720,48,6003,0
20-Nov-2023 15:23:21,720,48,5939,0
20-Nov-2023 15:23:21,720,48,5984,0
20-Nov-2023 15:23:21,720,48,6046,0
20-Nov-2023 15:23:21,720,48,5928,0
20-Nov-2023 15:23:21,720,48,5981,0
20-Nov-2023 15:23:22,720,48,5970,0
20-Nov-2023 15:23:22,720,48,5919,0
20-Nov-2023 15:23:22,720,48,5961,0
20-Nov-2023 15:23:22,720,48,6001,0
20-Nov-2023 15:23:22,720,48,6043,0
20-Nov-2023 15:23:22,720,48,5999,0
20-Nov-2023 15:23:22,720,48,5986,0
20-Nov-2023 15:23:23,720,48,5997,0
20-Nov-2023 15:23:23,720,48,5968,0
20-Nov-2023 15:23:23,721,48,5977,0
20-Nov-2023 15:23:23,720,49,6017,0
20-Nov-2023 15:23:23,721,49,5968,0
20-Nov-2023 15:23:23,720,49,5979,0
20-Nov-2023 15:23:24,720,49,5975,0
20-Nov-2023 15:23:24,720,49,5995,0
20-Nov-2023 15:23:24,720,49,5981,0
20-Nov-2023 15:23:24,720,49,6074,0
20-Nov-2023 15:23:25,720,49,5986,0
20-Nov-2023 15:23:25,720,49,5975,0
20-Nov-2023 15:23:25,720,49,5955,0
20-Nov-2023 15:23:25,721,49,6003,0
20-Nov-2023 15:23:26,720,49,6017,0
20-Nov-2023 15:23:26,720,49,6041,0
20-Nov-2023 15:23:26,721,49,6083,0
20-Nov-2023 15:23:26,720,49,5944,0
20-Nov-2023 15:23:26,720,49,6010,0
20-Nov-2023 15:23:27,721,49,5972,0
20-Nov-2023 15:23:27,720,49,6023,0
20-Nov-2023 15:23:27,720,49,5986,0
20-Nov-2023 15:23:27,720,49,6054,0
20-Nov-2023 15:23:27,721,49,6026,0
20-Nov-2023 15:23:27,720,49,5955,0
20-Nov-2023 15:23:27,720,49,6003,0
20-Nov-2023 15:23:27,720,49,5961,0
20-Nov-2023 15:23:28,720,49,5937,0
20-Nov-2023 15:23:28,720,49,5975,0
20-Nov-2023 15:23:28,721,49,5961,0
20-Nov-2023 15:23:28,720,49,5990,0
20-Nov-2023 15:23:29,720,49,6006,0
20-Nov-2023 15:23:29,720,49,5955,0
20-Nov-2023 15:23:29,721,49,6006,0
20-Nov-2023 15:23:29,720,49,6050,0
20-Nov-2023 15:23:29,720,49,6015,0
20-Nov-2023 15:23:29,720,49,6001,0
20-Nov-2023 15:23:30,721,49,6028,0
20-Nov-2023 15:23:30,721,49,5981,0
20-Nov-2023 15:23:30,720,49,5919,0
20-Nov-2023 15:23:30,720,49,5970,0
20-Nov-2023 15:23:31,720,50,5992,0
20-Nov-2023 15:23:31,720,50,6017,0
20-Nov-2023 15:23:31,720,50,6054,0
20-Nov-2023 15:23:31,720,50,6041,0
20-Nov-2023 15:23:31,720,50,6043,0
20-Nov-2023 15:23:31,721,50,5995,0
20-Nov-2023 15:23:32,720,50,6066,0
20-Nov-2023 15:23:32,721,50,5988,0
20-Nov-2023 15:23:32,720,50,6101,0
20-Nov-2023 15:23:32,720,50,6070,0
20-Nov-2023 15:23:33,720,50,6068,0
20-Nov-2023 15:23:33,720,50,5992,0
20-Nov-2023 15:23:33,720,50,6070,0
20-Nov-2023 15:23:33,720,50,6003,0
20-Nov-2023 15:23:33,720,50,6081,0
20-Nov-2023 15:23:33,720,50,6063,0
20-Nov-2023 15:23:33,720,50,6088,0
20-Nov-2023 15:23:34,720,50,6068,0
20-Nov-2023 15:23:34,721,50,6017,0
20-Nov-2023 15:23:34,720,50,6059,0
20-Nov-2023 15:23:35,720,50,6039,0
20-Nov-2023 15:23:35,720,50,5999,0
20-Nov-2023 15:23:35,721,50,6057,0
20-Nov-2023 15:23:35,721,50,6063,0
20-Nov-2023 15:23:35,720,50,6119,0
20-Nov-2023 15:23:35,720,50,6037,0
20-Nov-2023 15:23:36,720,50,6050,0
20-Nov-2023 15:23:36,720,50,6041,0
20-Nov-2023 15:23:36,720,50,6052,0
20-Nov-2023 15:23:36,720,50,6057,0
20-Nov-2023 15:23:37,720,50,6037,0
20-Nov-2023 15:23:37,721,50,6059,0
20-Nov-2023 15:23:37,720,50,6017,0
20-Nov-2023 15:23:37,720,50,6088,0
20-Nov-2023 15:23:37,720,50,6079,0
20-Nov-2023 15:23:37,720,50,6046,0
20-Nov-2023 15:23:38,721,50,6081,0
20-Nov-2023 15:23:38,720,50,6103,0
20-Nov-2023 15:23:38,720,50,6066,0
20-Nov-2023 15:23:38,720,50,6090,0
20-Nov-2023 15:23:38,720,50,6059,0
20-Nov-2023 15:23:39,720,50,6086,0
20-Nov-2023 15:23:39,720,50,6123,0
20-Nov-2023 15:23:39,720,50,6046,0
20-Nov-2023 15:23:39,721,50,6081,0
20-Nov-2023 15:23:40,720,50,6101,0
20-Nov-2023 15:23:40,720,50,6106,0
20-Nov-2023 15:23:40,720,50,6001,0
20-Nov-2023 15:23:40,720,50,6101,0
20-Nov-2023 15:23:40,721,50,6037,0
20-Nov-2023 15:23:41,720,50,6125,0
20-Nov-2023 15:23:41,720,50,6063,0
20-Nov-2023 15:23:41,720,50,6032,0
20-Nov-2023 15:23:42,720,50,6081,0
20-Nov-2023 15:23:42,720,50,6081,0
20-Nov-2023 15:23:42,720,50,6101,0
20-Nov-2023 15:23:43,720,50,6030,0
20-Nov-2023 15:23:43,720,50,6048,0
20-Nov-2023 15:23:43,720,50,6048,0
20-Nov-2023 15:23:43,721,51,6128,0
20-Nov-2023 15:23:43,720,51,6112,0
20-Nov-2023 15:23:43,720,51,6143,0
20-Nov-2023 15:23:43,720,51,6101,0
20-Nov-2023 15:23:43,720,51,6059,0
20-Nov-2023 15:23:44,720,51,6117,0
20-Nov-2023 15:23:44,720,51,6068,0
20-Nov-2023 15:23:44,720,51,6086,0
20-Nov-2023 15:23:44,720,51,6050,0
20-Nov-2023 15:23:44,721,51,6119,0
20-Nov-2023 15:23:44,720,51,6132,0
20-Nov-2023 15:23:44,720,51,6137,0
20-Nov-2023 15:23:44,720,51,6117,0
20-Nov-2023 15:23:45,720,51,6121,0
20-Nov-2023 15:23:45,720,51,6101,0
20-Nov-2023 15:23:45,720,51,6063,0
20-Nov-2023 15:23:45,720,51,6054,0
20-Nov-2023 15:23:45,720,51,6090,0
20-Nov-2023 15:23:46,720,51,6141,0
20-Nov-2023 15:23:46,720,51,6123,0
20-Nov-2023 15:23:46,720,51,6088,0
20-Nov-2023 15:23:46,720,51,6121,0
20-Nov-2023 15:23:46,720,51,6090,0
20-Nov-2023 15:23:47,721,51,6174,0
20-Nov-2023 15:23:47,720,51,6130,0
20-Nov-2023 15:23:47,720,51,6119,0
20-Nov-2023 15:23:47,720,51,6139,0
20-Nov-2023 15:23:48,721,51,6125,0
20-Nov-2023 15:23:48,720,51,6165,0
20-Nov-2023 15:23:48,720,51,6063,0
20-Nov-2023 15:23:48,720,51,6103,0
20-Nov-2023 15:23:48,720,51,6128,0
20-Nov-2023 15:23:49,721,51,6103,0
20-Nov-2023 15:23:49,720,51,6097,0
20-Nov-2023 15:23:49,720,51,6066,0
20-Nov-2023 15:23:49,720,51,6019,0
20-Nov-2023 15:23:49,720,51,6046,0
20-Nov-2023 15:23:50,721,51,6077,0
20-Nov-2023 15:23:50,720,51,6072,0
20-Nov-2023 15:23:50,720,51,6077,0
20-Nov-2023 15:23:50,720,51,6054,0
20-Nov-2023 15:23:50,720,51,6079,0
20-Nov-2023 15:23:50,720,51,6079,0
20-Nov-2023 15:23:51,721,51,6137,0
20-Nov-2023 15:23:51,720,51,6094,0
20-Nov-2023 15:23:51,721,51,6130,0
20-Nov-2023 15:23:51,721,51,6137,0
20-Nov-2023 15:23:52,721,51,6125,0
20-Nov-2023 15:23:52,720,51,6123,0
20-Nov-2023 15:23:53,720,51,6137,0
20-Nov-2023 15:23:53,720,51,6143,0
20-Nov-2023 15:23:53,720,51,6077,0
20-Nov-2023 15:23:53,720,51,6108,0
20-Nov-2023 15:23:53,720,51,6061,0
20-Nov-2023 15:23:53,720,51,6130,0
20-Nov-2023 15:23:53,721,51,6046,0
20-Nov-2023 15:23:54,720,51,6112,0
20-Nov-2023 15:23:54,721,51,6046,0
20-Nov-2023 15:23:54,720,51,6112,0
20-Nov-2023 15:23:54,721,51,6068,0
20-Nov-2023 15:23:54,721,51,6059,0
20-Nov-2023 15:23:54,721,51,6059,0
20-Nov-2023 15:23:55,721,51,6121,0
20-Nov-2023 15:23:55,720,52,6103,0
20-Nov-2023 15:23:55,720,52,6110,0
20-Nov-2023 15:23:55,721,52,6137,0
20-Nov-2023 15:23:55,721,52,6052,0
20-Nov-2023 15:23:55,721,52,6090,0
20-Nov-2023 15:23:56,720,52,6108,0
20-Nov-2023 15:23:56,721,52,6094,0
20-Nov-2023 15:23:56,720,52,6108,0
20-Nov-2023 15:23:56,720,52,6123,0
20-Nov-2023 15:23:56,720,52,6143,0
20-Nov-2023 15:23:57,720,52,6072,0
20-Nov-2023 15:23:57,720,52,6059,0
20-Nov-2023 15:23:57,720,52,6259,0
20-Nov-2023 15:23:57,721,52,6141,0
20-Nov-2023 15:23:57,721,52,6150,0
20-Nov-2023 15:23:57,721,52,6121,0
20-Nov-2023 15:23:58,721,52,6165,0
20-Nov-2023 15:23:58,721,52,6112,0
20-Nov-2023 15:23:58,721,52,6159,0
20-Nov-2023 15:23:58,721,52,6097,0
20-Nov-2023 15:23:59,722,52,6179,0
20-Nov-2023 15:23:59,721,52,6172,0
20-Nov-2023 15:23:59,721,52,6172,0
20-Nov-2023 15:23:59,721,52,6072,0
20-Nov-2023 15:23:59,721,52,6201,0
20-Nov-2023 15:24:00,721,52,6114,0
20-Nov-2023 15:24:00,722,52,6154,0
20-Nov-2023 15:24:00,721,52,6041,0
20-Nov-2023 15:24:00,721,52,6059,0
20-Nov-2023 15:24:00,722,52,6143,0
20-Nov-2023 15:24:01,721,52,6077,0
20-Nov-2023 15:24:01,722,52,6097,0
20-Nov-2023 15:24:01,721,52,6094,0
20-Nov-2023 15:24:01,721,52,6079,0
20-Nov-2023 15:24:02,721,52,6077,0
20-Nov-2023 15:24:02,721,52,6083,0
20-Nov-2023 15:24:02,721,52,6046,0
20-Nov-2023 15:24:02,721,52,6059,0
20-Nov-2023 15:24:03,721,52,6079,0
20-Nov-2023 15:24:03,721,52,6086,0
20-Nov-2023 15:24:03,722,52,6123,0
20-Nov-2023 15:24:03,721,52,6070,0
20-Nov-2023 15:24:03,721,52,6117,0
20-Nov-2023 15:24:03,721,52,6117,0
20-Nov-2023 15:24:04,721,52,6145,0
20-Nov-2023 15:24:04,722,52,6152,0
20-Nov-2023 15:24:04,721,52,6172,0
20-Nov-2023 15:24:04,722,52,6176,0
20-Nov-2023 15:24:04,721,52,6088,0
20-Nov-2023 15:24:04,721,52,6125,0
20-Nov-2023 15:24:04,721,52,6163,0
20-Nov-2023 15:24:05,721,52,6134,0
20-Nov-2023 15:24:05,721,52,6141,0
20-Nov-2023 15:24:05,721,52,6148,0
20-Nov-2023 15:24:05,721,52,6119,0
