time,position,temperature,voltage
10,409,49,7099
20,409,49,7106
30,409,49,7090
40,409,49,7017
50,409,49,7084
60,409,49,6993
70,409,49,7070
80,409,49,7026
90,409,49,7119
100,409,49,7117
110,409,49,7015
120,409,49,7086
130,409,49,7099
140,409,49,7097
150,409,49,7106
160,409,49,7028
170,409,49,7081
180,409,49,7022
190,409,49,7099
200,409,49,7137
210,409,49,7037
220,409,49,7064
230,409,49,7010
240,409,49,7081
250,409,49,7019
260,409,49,7026
270,409,49,7010
280,409,49,7017
290,409,49,7068
300,409,49,7028
310,409,49,7002
320,409,49,7092
330,409,49,7124
340,409,49,7066
350,409,49,7024
360,409,49,7048
370,409,49,7046
380,409,49,7110
390,409,49,7019
400,409,49,7057
410,409,49,7033
420,409,49,7050
430,409,49,7057
440,409,49,7030
450,409,49,7010
460,409,49,7099
470,409,49,7035
480,409,49,7010
490,409,49,7022
500,409,49,7028
510,409,49,6990
520,409,49,7092
530,409,49,7030
540,409,49,7121
550,409,49,7024
560,409,49,7024
570,409,49,7115
580,409,49,7050
590,409,49,7019
600,409,49,7126
610,409,49,6990
620,409,49,7061
630,409,49,7092
640,409,49,7121
650,409,49,7030
660,409,49,7110
670,409,49,7008
680,409,49,7110
690,409,49,7017
700,409,49,7013
710,409,49,7119
720,409,49,6993
730,409,49,7073
740,409,49,7006
750,409,49,7017
760,409,49,7088
770,409,49,7044
780,409,49,7019
790,409,49,7026
800,409,49,7104
810,409,49,7095
820,409,49,7026
830,409,49,7117
840,409,49,7033
850,409,49,7037
860,409,49,7084
870,409,49,6984
880,409,49,6995
890,409,49,7033
900,409,49,7015
910,409,49,7108
920,409,49,7013
930,409,49,7070
940,409,49,7024
950,409,49,7039
960,410,49,7044
970,409,49,7057
980,409,49,7070
990,409,49,7002
1000,409,49,7039
