time,position,temperature,voltage
09-Nov-2023 16:08:28,487,47,7135
09-Nov-2023 16:08:28,487,47,7161
09-Nov-2023 16:08:28,487,47,7150
09-Nov-2023 16:08:29,487,47,7157
09-Nov-2023 16:08:29,487,47,7137
09-Nov-2023 16:08:29,487,47,7163
09-Nov-2023 16:08:29,487,47,7150
09-Nov-2023 16:08:29,486,47,7155
09-Nov-2023 16:08:30,487,47,7192
09-Nov-2023 16:08:30,487,47,7121
09-Nov-2023 16:08:30,487,47,7084
09-Nov-2023 16:08:31,487,47,7155
09-Nov-2023 16:08:31,487,47,7150
09-Nov-2023 16:08:31,487,47,7170
09-Nov-2023 16:08:31,487,47,7155
09-Nov-2023 16:08:32,487,47,7161
09-Nov-2023 16:08:32,487,47,7181
09-Nov-2023 16:08:32,487,47,7155
09-Nov-2023 16:08:32,487,47,7141
09-Nov-2023 16:08:33,487,47,7157
09-Nov-2023 16:08:33,486,47,7190
09-Nov-2023 16:08:33,487,47,7139
09-Nov-2023 16:08:33,487,47,7148
09-Nov-2023 16:08:34,487,47,7148
09-Nov-2023 16:08:34,487,47,7150
09-Nov-2023 16:08:34,487,47,7161
09-Nov-2023 16:08:35,487,47,7163
09-Nov-2023 16:08:35,487,47,7175
09-Nov-2023 16:08:35,487,47,7148
09-Nov-2023 16:08:35,486,47,7168
09-Nov-2023 16:08:36,487,47,7132
09-Nov-2023 16:08:36,487,47,7217
09-Nov-2023 16:08:36,487,47,7148
09-Nov-2023 16:08:36,487,47,7217
09-Nov-2023 16:08:37,487,47,7183
09-Nov-2023 16:08:37,487,47,7166
09-Nov-2023 16:08:37,487,47,7214
09-Nov-2023 16:08:37,487,47,7234
09-Nov-2023 16:08:37,487,47,7150
09-Nov-2023 16:08:38,487,47,7190
09-Nov-2023 16:08:38,487,47,7146
09-Nov-2023 16:08:38,487,47,7130
09-Nov-2023 16:08:38,508,47,7157
09-Nov-2023 16:08:39,551,47,7163
09-Nov-2023 16:08:39,551,47,7155
09-Nov-2023 16:08:39,551,47,7124
09-Nov-2023 16:08:40,551,47,7128
09-Nov-2023 16:08:40,551,47,7119
09-Nov-2023 16:08:40,551,47,7117
09-Nov-2023 16:08:40,551,47,7190
09-Nov-2023 16:08:41,551,47,7115
09-Nov-2023 16:08:41,551,47,7064
09-Nov-2023 16:08:41,559,47,7130
09-Nov-2023 16:08:42,558,47,7119
09-Nov-2023 16:08:42,559,47,7137
09-Nov-2023 16:08:42,558,47,7141
09-Nov-2023 16:08:42,558,47,7124
09-Nov-2023 16:08:43,558,48,7130
09-Nov-2023 16:08:43,558,47,7130
09-Nov-2023 16:08:43,559,47,7146
09-Nov-2023 16:08:43,558,47,7126
09-Nov-2023 16:08:44,558,47,7146
09-Nov-2023 16:08:44,558,48,7148
09-Nov-2023 16:08:44,558,48,7121
09-Nov-2023 16:08:45,559,48,7179
09-Nov-2023 16:08:45,559,48,7117
09-Nov-2023 16:08:45,558,48,7108
09-Nov-2023 16:08:45,559,48,7119
09-Nov-2023 16:08:45,558,48,7115
09-Nov-2023 16:08:46,558,48,7159
09-Nov-2023 16:08:46,558,48,7141
09-Nov-2023 16:08:46,558,48,7150
09-Nov-2023 16:08:46,558,48,7121
09-Nov-2023 16:08:47,558,48,7166
09-Nov-2023 16:08:47,558,48,7130
