time,position,temperature,voltage,label
80678.54683423,695,31,7372,0
80678.646967649,695,31,7407,0
80678.746805191,695,31,7370,0
80678.846834182,695,31,7399,0
80678.947124481,696,31,7385,0
80679.046830177,695,31,7403,0
80679.16516757,695,31,7412,0
80679.246855258,695,31,7396,0
80679.346857786,695,31,7363,0
80679.446827888,695,31,7401,0
80679.546804904,695,31,7376,0
80679.646860361,695,31,7370,0
80679.746982097,695,31,7390,0
80679.846952199,695,31,7390,0
80679.946854829,695,31,7368,0
80680.052365541,695,31,7363,0
80680.146981477,695,31,7363,0
80680.247016429,695,31,7376,0
80680.346925497,695,31,7383,0
80680.449544191,695,31,7407,0
80680.546899318,695,31,7401,0
80680.646873235,695,31,7363,0
80680.746799945,695,31,7394,0
80680.846872329,695,31,7407,0
80680.946772575,695,31,7405,0
80681.046898603,695,31,7363,0
80681.146987915,695,31,7376,0
80681.246890068,695,31,7376,0
80681.346883535,695,31,7405,0
80681.446896553,696,31,7419,0
80681.546940326,695,31,7372,0
80681.646939039,695,31,7407,0
80681.747047185,695,31,7407,0
80681.846914291,695,31,7381,0
80681.946997165,695,31,7390,0
80682.046823024,695,31,7407,0
80682.146841526,695,31,7370,0
80682.246885776,695,31,7363,0
80682.34691286,695,31,7396,0
80682.446973085,695,31,7410,0
80682.546803236,695,31,7394,0
80682.646779537,696,31,7396,0
80682.746932744,695,31,7372,0
80682.84693861,695,31,7376,0
80682.946897506,695,31,7363,0
80683.046924591,696,31,7381,0
80683.147107362,695,31,7403,0
80683.246780872,695,31,7363,0
80683.34684205,695,31,7381,0
80683.446954965,695,31,7363,0
80683.54684925,695,31,7379,0
80683.64693737,695,31,7365,0
80683.746924877,695,31,7376,0
80683.846945285,695,31,7376,0
80683.946907281,695,31,7407,0
80684.047011852,695,31,7363,0
80684.146836996,695,31,7385,0
80684.247300148,695,31,7374,0
80684.347392082,696,31,7363,0
80684.44690299,695,31,7363,0
80684.554019927,695,31,7359,0
80684.675966739,696,31,7363,0
80684.817251443,695,31,7363,0
80684.93828535,695,31,7363,0
80685.022769927,695,31,7363,0
80685.117671966,695,31,7365,0
80685.227480411,695,31,7387,0
80685.328142642,696,31,7363,0
80685.664914131,695,31,7363,0
80685.781131982,696,31,7379,0
80685.887490987,695,31,7363,0
80685.996632814,695,31,7352,0
80686.087902069,695,31,7336,0
80686.183028697,696,31,7363,0
80686.286236524,695,31,7385,0
80686.422820091,695,31,7363,0
80686.535384178,695,31,7341,0
80686.662071466,696,31,7365,0
80686.756380081,696,31,7363,0
80686.86734867,695,31,7363,0
80686.979635,695,31,7396,0
80687.078598499,695,31,7363,0
80687.201416254,695,31,7363,0
80687.305185317,696,31,7363,0
80687.471762895,695,31,7361,0
80687.588249683,695,31,7363,0
80687.713865041,695,31,7363,0
80687.793445825,695,31,7385,0
80687.871721982,695,31,7363,0
80687.972016572,696,31,7363,0
80688.071624994,696,31,7350,0
80688.227510213,695,31,7363,0
80688.336735963,695,31,7363,0
80688.44857335,695,31,7363,0
80688.535317182,695,31,7363,0
80688.610902309,695,31,7379,0
80688.682216882,695,31,7363,0
80688.771688938,695,31,7363,0
80688.871679306,696,31,7370,0
80688.971684455,695,31,7363,0
80689.071689367,695,31,7365,0
80689.17168188,695,31,7368,0
80689.271688222,695,31,7387,0
80689.371679067,695,31,7376,0
80689.47169733,695,31,7368,0
80689.571691513,696,31,7390,0
80689.67173314,695,31,7394,0
80689.77174282,695,31,7387,0
80689.871940612,695,31,7363,0
80689.971627712,695,31,7387,0
80690.07160449,695,31,7407,0
80690.171628952,695,31,7392,0
80690.271630287,696,31,7363,0
80690.371718883,695,31,7363,0
80690.519211292,695,31,-860,0
80690.605467557,696,31,7363,0
80690.697972774,696,31,7363,0
80690.829908847,696,31,7363,0
80690.94635272,695,31,7350,0
80691.050183773,696,31,7359,0
80691.143450975,695,31,7363,0
80691.263706207,696,31,7363,0
80691.380433082,695,31,7363,0
80691.48207426,695,31,7363,0
80691.591111898,695,31,7363,0
80691.677731275,695,31,7341,0
80691.790844202,695,31,7376,0
80691.902524948,695,31,7359,0
80692.098538637,695,31,7363,0
80692.218296051,695,31,7374,0
80692.328363656,696,31,7363,0
80692.444189071,695,31,7365,0
80692.535616159,695,31,7363,0
80692.620741844,695,31,7363,0
80692.724874019,695,31,7385,0
80692.799325227,695,31,7363,0
80692.898456096,695,31,7379,0
80693.05525732,695,31,7372,0
80693.156324863,696,31,7363,0
80693.284415483,696,31,7365,0
80693.415661096,696,31,7363,0
80693.503375291,695,31,7319,0
80693.615223884,695,31,7345,0
80693.719020605,696,31,7363,0
80693.79633069,696,31,7361,0
80693.876351118,695,31,7363,0
80694.195587873,695,31,7383,0
80694.296117067,695,31,7339,0
80694.413423538,696,31,7363,0
80694.57796359,695,31,7345,0
80694.721966743,695,31,7363,0
80694.869597434,695,31,7363,0
80694.956912279,695,31,7348,0
80695.055952787,695,31,7387,0
80695.153084754,695,31,7363,0
80695.259940147,695,31,7354,0
80695.36310172,695,31,7325,0
80695.455809593,695,31,7363,0
80695.567347288,695,31,7363,0
80695.672521591,695,31,7368,0
80695.824915409,695,31,7363,0
80695.933647632,696,31,7363,0
80696.041183471,695,31,7374,0
80696.141592502,696,31,7363,0
80696.249805212,695,31,7407,0
80696.368924379,695,31,7363,0
80696.474009037,695,31,7368,0
80696.592597246,695,31,7363,0
80696.683602094,695,31,7363,0
80696.780518293,696,31,7374,0
80696.868083715,695,31,7383,0
80696.955270767,695,31,7370,0
80697.077887773,695,31,7363,0
80697.217505216,695,31,7363,0
80697.314310312,695,31,7363,0
80697.474021196,695,31,7363,0
80697.55754733,696,31,7365,0
80697.653476953,695,31,7365,0
80697.745262861,695,31,7368,0
80697.84228301,696,31,7363,0
80697.920909404,695,31,7363,0
80698.039466381,696,31,7361,0
80698.120170354,695,31,7363,0
80698.243377447,695,31,7405,0
80698.362375259,695,31,7387,0
80698.448107242,695,31,7363,0
80698.613447427,695,31,7363,0
80698.69720602,695,31,7363,0
80698.773046255,695,31,7359,0
80698.863488674,695,31,7372,0
80698.973435878,695,31,7363,0
80699.088825225,695,31,7354,0
80699.204967737,695,31,7363,0
80699.314528703,695,31,7363,0
80699.420480012,695,31,7363,0
80699.504172801,695,31,7361,0
80699.601717472,695,31,7401,0
80699.688957452,695,31,7363,0
80699.766616582,695,31,7361,0
80699.881150484,695,31,7363,0
80699.998366832,696,31,7363,0
80700.137711048,695,31,7374,0
80700.237936496,695,31,7370,0
80700.374650716,695,31,7407,0
80700.462807655,696,31,7363,0
80700.544045686,696,31,7361,0
80700.638120174,695,31,7363,0
80700.738112688,695,31,7387,0
80700.838076829,695,31,7363,0
80700.93798232,696,31,7363,0
80701.0381639,695,31,7370,0
80701.138156175,695,31,7363,0
80701.238095283,696,31,7385,0
80701.338073015,695,31,7361,0
