time,position,temperature,voltage,label
82902.473649263,508,50,7248,0
82902.573749303,508,50,7252,0
82902.673967599,508,50,7241,0
82902.773669719,508,50,7250,0
82902.873595476,508,50,7252,0
82902.973867893,508,50,7250,0
82903.073679924,508,50,7248,0
82903.173751115,508,50,7237,0
82903.273884534,508,50,7248,0
82903.373752117,508,50,7250,0
82903.473648548,508,50,7252,0
82903.573593139,508,50,7252,0
82903.673617601,508,50,7250,0
82903.773591518,508,50,7257,0
82903.873735189,508,50,7250,0
82903.973630905,508,50,7250,0
82904.073682546,507,50,7246,0
82904.173909187,508,50,7246,0
82904.273611307,508,50,7252,0
82904.373744487,508,50,7250,0
82904.473673105,508,50,7250,0
82904.573672771,508,50,7241,0
82904.673669576,508,50,7250,0
82904.773678779,508,50,7252,0
82904.873690843,508,50,7250,0
82904.973923683,508,50,7265,0
82905.073758125,508,50,7248,0
82905.173707246,508,50,7254,0
82905.273759603,508,50,7248,0
82905.373821735,508,50,7248,0
82905.473735094,508,50,7248,0
82905.573678016,508,50,7252,0
82905.673638343,508,50,7250,0
82905.773593902,508,50,7248,0
82905.873582601,508,50,7250,0
82905.97368288,508,50,7250,0
82906.073745727,508,50,7239,0
82906.173611402,508,50,7254,0
82906.2736485,508,50,7250,0
82906.373775243,508,50,7261,0
82906.474068164,508,50,7239,0
82906.577807903,507,50,7210,0
82906.673642158,501,50,7246,0
82906.776487112,501,50,7250,0
82906.886700868,501,50,7250,0
82907.00458455,500,50,7234,0
82907.100492715,501,50,7237,0
82907.180295467,492,50,7252,0
82907.273642778,487,50,7279,0
82907.373712539,480,50,7248,0
82907.694032669,480,50,7250,0
82907.793575525,480,50,7254,0
82907.902855873,479,50,7241,0
82908.012174129,480,50,7246,0
82908.159863948,468,50,7250,0
82908.255298852,467,50,7250,0
82908.387720108,464,50,7246,0
82908.489790201,464,50,7250,0
82908.581120967,463,50,7248,0
82908.733724355,457,50,7252,0
82908.844396352,456,50,7250,0
82908.926250696,453,50,7252,0
82909.045778274,453,50,7252,0
82909.140532016,450,50,7250,0
82909.245280742,448,50,7250,0
82909.345296859,448,50,7241,0
82909.47185707,445,50,7248,0
82909.549665451,442,50,7248,0
82909.691528558,436,50,7270,0
82909.779594898,436,50,7248,0
82909.880219221,436,50,7252,0
82909.984192371,436,50,7250,0
82910.09130311,436,50,7241,0
82910.195898056,432,50,7250,0
82910.296245574,428,50,7241,0
82910.396116495,424,50,7248,0
82910.500601768,419,50,7252,0
82910.597391366,419,50,7252,0
82910.950406312,419,50,7246,0
82911.065655946,416,50,7250,0
82911.191054821,409,50,7243,0
82911.295917749,404,50,7230,0
82911.619675874,404,50,7257,0
82911.719908237,402,50,7248,0
82911.822471141,400,50,7243,0
82911.919828891,397,50,7246,0
82912.020507335,394,50,7246,0
82912.136446237,390,50,7250,0
82912.242736577,391,50,7246,0
82912.356596231,391,50,7230,0
82912.458080053,390,50,7246,0
82912.59774208,383,50,7265,0
82912.686846494,381,50,7257,0
82912.803479909,381,50,7232,0
82912.904277563,376,50,7248,0
82913.009804725,376,50,7257,0
82913.127757787,376,50,7265,0
82913.244433164,370,50,7243,0
82913.355682373,369,50,7241,0
82913.450130701,369,50,7250,0
82913.561327457,360,50,7250,0
82913.662660598,360,50,7254,0
82913.764089107,360,50,7252,0
82913.861728191,360,50,7217,0
82913.996650695,360,50,7230,0
82914.146206617,353,50,7250,0
82914.24798274,349,50,7246,0
82914.350884199,348,255,7250,0
82914.446301221,348,50,7250,0
82914.557235956,348,50,7232,0
82914.683012723,344,50,7254,0
82914.764724493,341,50,7252,0
82914.867806434,336,50,7248,0
82914.960512876,335,50,7248,0
82915.082442283,334,50,7250,0
82915.180572748,331,50,7257,0
82915.278570413,331,50,7250,0
82915.356591939,331,50,7234,0
82915.549362182,331,50,7230,0
82915.64421606,329,50,7239,0
82915.739701747,323,50,7270,0
82915.884751081,317,50,7252,0
82916.004456758,315,50,7234,0
82916.106271028,316,50,7250,0
82916.214610099,314,50,7234,0
82916.313115119,309,50,7230,0
82916.441706657,302,50,7252,1
82916.563857078,302,50,7250,1
82916.663758993,300,50,7239,1
82916.814837932,300,50,7250,1
82916.912701368,300,50,7232,1
82917.006152868,298,50,7250,1
82917.107971429,292,50,7248,1
82917.192496538,286,51,7250,1
82917.421081304,285,51,7248,1
82917.548535346,286,51,7230,1
82917.692034006,285,51,7243,1
82917.789245605,279,51,7257,1
82917.890822172,271,51,7341,1
82918.00390172,271,51,7254,1
82918.07823491,271,52,7239,1
82918.18701601,271,52,7246,1
82918.282227993,271,52,7248,1
82918.374609231,270,52,7246,1
82918.487080097,265,52,7263,1
82918.596129179,259,52,7263,1
82918.688865423,259,52,7252,1
82918.825854539,259,53,7243,1
82918.922563552,259,53,7228,1
82919.034450292,259,53,7250,1
82919.130955219,258,53,7228,1
82919.2394104,258,53,7237,1
82919.320268392,248,53,7250,1
82919.432501077,242,53,7243,1
82919.535528182,242,54,7248,1
82919.617914676,242,54,7252,1
82919.700546503,242,54,7221,1
82919.822854042,242,54,7228,1
82919.909427404,242,54,7248,1
82920.001793861,242,54,7212,1
82920.116628885,242,54,7243,1
82920.198808908,239,55,7237,1
82920.300835132,230,55,7246,1
82920.382382869,225,55,7250,1
82920.472467899,223,55,7261,1
82920.587679862,223,55,7252,1
82920.789113998,218,55,7259,1
82920.889375448,219,55,7239,1
82921.100165128,214,56,7252,1
82921.198969364,207,56,7252,1
82921.305425882,207,56,7248,1
82921.386822462,207,56,7252,1
82921.492882251,207,56,7243,1
82921.719007015,199,56,7252,1
82921.823276042,197,56,7257,1
82921.944091558,197,57,7261,1
82922.028385639,197,57,7248,1
82922.158556699,193,57,7252,1
82922.35588932,189,57,7234,1
82922.493651151,189,57,7246,1
82922.586737632,186,57,7250,1
82922.669839859,183,57,7250,1
82922.762521266,183,58,7250,1
82922.852372646,181,58,7246,1
82922.951925992,177,58,7243,1
82923.035128593,177,58,7243,1
82923.169806003,177,58,7250,1
82923.266399383,174,58,7252,1
82923.370177745,168,58,7252,1
82923.507802009,168,59,7252,1
82923.606950759,169,59,7248,1
82923.701586008,167,59,7237,1
82923.810000658,159,59,7243,1
82923.906992673,159,59,7237,1
82924.003057003,159,59,7234,1
82924.095743179,159,59,7230,1
82924.328921079,154,60,7243,1
82924.444155931,147,60,7248,1
82924.553579568,147,60,7250,1
82924.660237789,147,60,7214,1
82924.766579389,143,60,7248,1
82924.871085882,139,60,7241,1
82924.966746807,138,60,7248,1
82925.1142838,135,61,7243,1
82925.251114606,131,61,7250,1
82925.338592767,131,61,7248,1
82925.421320915,131,61,7246,1
82925.519266128,128,61,7214,1
82925.588973522,126,61,7252,1
82925.712218761,121,61,7246,1
82925.815030097,121,62,7241,1
82925.929488182,121,62,7248,1
82926.021233081,121,62,7241,1
82926.171362876,117,62,7250,1
82926.27515459,109,62,7248,1
82926.353577136,109,62,7250,1
82926.463857889,108,62,7257,1
82926.796288013,103,62,7250,1
82926.923250198,96,61,7239,1
82927.054978847,96,61,7252,1
82927.144566297,96,61,7248,1
82927.236558198,94,61,7252,1
82927.338300704,89,61,7252,1
82927.455560207,86,61,7243,1
82927.570218801,86,61,7250,1
82927.666896343,86,61,7248,1
82927.773383378,82,61,7248,1
82927.857526779,75,61,7246,1
82927.952988862,75,61,7252,1
82928.060914993,74,61,7250,1
82928.170288801,74,61,7248,1
82928.273174285,72,61,7237,1
82928.348067522,69,61,7241,1
82928.449875593,67,61,7246,1
82928.539316654,67,61,7226,1
82928.626671552,63,61,7250,1
82928.732423067,63,61,7237,1
82928.840284347,63,61,7230,1
82928.931536197,63,61,7239,1
82929.021567821,56,61,7250,1
82929.350353479,53,61,7254,1
82929.508814573,45,61,7248,1
82929.647658348,43,61,7252,1
82929.746437311,43,61,7239,1
82929.845556259,42,60,7228,1
82929.943419218,43,60,7243,1
82930.058462381,40,60,7234,1
82930.158747911,39,60,7243,1
82930.308176755,39,60,7212,1
82930.392113447,39,60,7221,1
82930.49345231,39,60,7336,1
82930.815019369,37,60,7163,1
82930.916193723,36,60,7190,1
82931.057428836,36,60,7130,1
82931.157370567,36,60,7124,1
82931.243142843,36,60,7033,1
82931.320934772,35,60,7106,1
82931.41433525,35,60,6997,1
82931.514428377,36,60,6988,1
82931.614388227,35,60,7046,1
82931.7143929,35,60,6928,1
82931.814334392,35,60,6935,1
82931.914355039,35,60,6900,1
82932.014379501,35,60,6948,1
82932.114347934,35,60,6926,1
82932.214338064,35,60,6919,1
82932.314359664,35,60,6944,1
82932.414438247,35,60,6977,1
82932.51432681,35,60,7010,1
82932.614323616,35,60,7008,1
82932.725706338,35,59,7006,1
82932.814958333,35,59,7175,1
82932.914334297,35,59,7152,1
82933.015345335,35,59,7203,1
82933.114526033,35,59,7206,1
82933.214557647,35,59,7226,1
82933.314652919,35,59,7223,1
82933.42131114,35,59,7232,1
82933.546601772,35,59,7243,1
82933.649178981,35,59,7248,1
82933.755746841,35,59,7252,1
82933.879130363,35,59,7257,1
82934.021199464,36,59,7332,1
82934.119674682,36,59,7356,1
82934.21278572,36,59,7336,1
82934.316968441,35,59,7246,1
82934.417831659,35,59,7250,1
82934.51466155,35,59,7243,1
82934.615315198,35,59,7234,1
82934.721235752,35,59,7248,1
82934.811250448,36,59,7239,1
82934.933081865,42,59,7248,1
82935.049436092,44,59,7246,1
82935.161668777,48,59,7248,1
82935.283031463,49,59,7250,1
82935.367221355,50,59,7237,1
82935.489399909,53,58,7243,1
82935.60103774,53,58,7243,1
82935.706818342,54,58,7237,1
82935.812818527,56,58,7243,1
82935.915171146,59,58,7239,1
82936.01530981,59,51,7237,0
82936.222605228,63,51,7230,0
82936.328538179,67,51,7223,0
82936.406348466,68,51,7219,0
82936.511831998,68,51,7232,0
82936.578484773,71,51,7241,0
82936.675659418,72,51,7232,0
82936.768449544,73,51,7250,0
82936.866400718,75,51,7228,0
82936.973835706,78,51,7219,0
82937.075916051,78,51,7217,0
82937.168926239,81,51,7230,0
82937.269607782,81,51,7221,0
82937.372341156,81,51,7226,0
82937.515166282,81,51,7150,0
82937.632158517,91,51,7243,0
82937.744829416,93,50,7246,0
82937.933286666,95,50,7243,0
82938.033499479,97,51,7223,0
82938.15246129,103,50,7239,0
82938.26644802,103,51,7234,0
82938.368131637,103,50,7241,0
82938.479909181,103,51,7239,0
82938.576281785,107,50,7243,0
82938.67777419,111,50,7246,0
82938.778434753,117,50,7243,0
82938.928912401,118,50,7241,0
82939.019328594,118,50,7217,0
82939.125709295,118,50,7201,0
82939.275044679,126,50,7239,0
82939.392582416,126,50,7248,0
82939.503288984,126,50,7228,0
82939.573387622,128,50,7237,0
82939.683828592,136,50,7228,0
82939.780570507,135,50,7243,0
82940.008765697,137,51,7223,0
82940.109084606,139,50,7239,0
82940.233549118,145,51,7243,0
82940.33837676,146,50,7226,0
82940.442191123,148,50,7237,0
82940.560550689,150,50,7243,0
82940.664120912,153,50,7234,0
82940.760558128,154,50,7183,0
82940.873951435,154,50,7203,0
82940.962670326,154,50,7208,0
82941.063260316,159,50,7230,0
82941.146609306,164,50,7230,0
82941.220147132,167,50,7248,0
82941.314727067,166,50,7243,0
82941.441180706,166,50,7226,0
82941.521642684,166,50,7192,0
82941.621261835,167,50,7234,0
82941.712700843,174,50,7234,0
82941.843709945,178,50,7228,0
82941.921723604,181,50,7246,0
82942.030761241,181,50,-951,0
82942.10931921,181,50,7241,0
82942.219745397,181,50,7234,0
82942.317280769,181,50,7243,0
82942.424453735,186,50,7248,0
82942.552176475,191,50,7257,0
82942.64349842,193,50,7239,0
82942.770709276,196,50,7243,0
82942.870194196,196,50,7234,0
82942.976640462,196,50,7226,0
82943.083657264,200,50,7212,0
82943.186811208,202,50,7243,0
82943.292799949,202,50,7230,0
82943.493469715,207,50,7221,0
82943.622407436,207,50,7228,0
82943.751701593,207,50,7230,0
82943.848830461,211,50,7248,0
82943.989055633,219,50,7219,0
82944.064088106,219,50,7230,0
82944.160995483,220,50,7214,0
82944.290478706,223,50,7230,0
82944.392168521,225,50,7208,0
82944.507823467,228,50,7223,0
82944.603096723,229,50,7226,0
82944.699679374,233,50,7232,0
82944.808257102,235,50,7230,0
82944.929755449,239,50,7239,0
82945.020312786,241,51,7268,0
82945.105854034,241,51,7232,0
82945.205955982,-270,50,7246,0
82945.352096796,248,50,7243,0
82945.453891754,249,50,7259,0
82945.533673286,249,50,7234,0
82945.635231971,252,50,7241,0
82945.73782587,252,50,7239,0
82945.828753471,258,50,7248,0
82945.928290843,258,50,7232,0
82946.048490762,261,50,7243,0
82946.122915744,265,50,7232,0
82946.225201845,265,50,7257,0
82946.31477499,-3831,50,7228,0
82946.436509609,266,50,7252,0
82946.553169488,273,50,7239,0
82946.655397891,275,50,7254,0
82946.795324325,274,50,7248,0
82946.91659832,275,50,7248,0
82947.025340318,279,50,7246,0
82947.150997161,279,50,7246,0
82947.254652738,283,50,7243,0
82947.359651327,285,50,7239,0
82947.519608736,289,50,7243,0
82947.65039587,292,50,7239,0
82947.72842884,292,50,7226,0
82947.832151651,296,50,7241,0
82947.972308397,298,50,7239,0
82948.086974859,298,50,7232,0
82948.20129466,304,50,7217,0
82948.33519268,306,50,7239,0
82948.450051784,306,50,7212,0
82948.535544157,308,50,7237,0
82948.635761737,313,50,7241,0
82948.735679149,313,50,7241,0
82948.835920333,313,50,7243,0
82948.935932397,314,50,7221,0
82949.035603761,313,50,7119,0
82949.135957479,320,50,7243,0
82949.236739873,325,50,7246,0
82949.335499286,325,50,7234,0
82949.439311265,325,50,7221,0
82949.542898654,325,51,7172,0
82949.655319452,325,50,7237,0
82949.73576498,334,50,7237,0
82949.885215997,335,50,7241,0
82949.995351791,336,50,7239,0
82950.204654455,341,50,7221,0
82950.290881872,347,50,7237,0
82950.3869915,348,50,7248,0
82950.469184875,348,50,7254,0
82950.544303894,348,50,7243,0
82950.649627923,352,50,7250,0
82950.755998373,353,50,7237,0
82950.851830959,353,50,7239,0
82950.971069097,352,50,7223,0
82951.04812932,355,50,7221,0
82951.135063886,361,50,7250,0
82951.221110343,369,50,7246,0
82951.34017086,369,58,7208,1
82951.42587614,369,58,7254,1
82951.521153211,369,58,7237,1
82951.605970859,369,58,7203,1
82951.72608757,372,58,7243,1
82951.834365367,380,58,7250,1
82951.929485321,381,58,7241,1
82952.030921936,381,58,7246,1
82952.146345138,381,58,7230,1
82952.248874425,381,58,7221,1
82952.343498229,390,58,7252,1
82952.459820747,391,58,7239,1
82952.574714422,392,58,7250,1
82952.690050601,396,58,7250,1
82952.77728343,396,58,7243,1
82952.904580593,398,58,7250,1
82953.011297702,403,58,7252,1
82953.124935865,405,58,7250,1
82953.212457895,409,58,7250,1
82953.305421352,409,58,7241,1
82953.422326564,412,58,7265,1
82953.524826765,414,57,7254,1
82953.641709566,414,57,7257,1
82953.758594751,414,57,7250,1
82953.862555742,414,57,7230,1
82953.949590682,419,57,7241,1
82954.055801391,424,57,7250,1
82954.141932964,424,57,7250,1
82954.241957187,424,57,7214,1
82954.341991424,424,57,7230,1
82954.534943342,433,57,7250,1
82954.663315773,433,50,7237,0
82954.75951147,434,50,7248,0
82954.925164937,437,50,7250,0
82955.080438613,440,50,7243,0
82955.188015699,440,50,7241,0
82955.290675163,445,50,7250,0
82955.421772718,450,50,7250,0
82955.544233322,452,50,7263,0
82955.626495838,452,50,7250,0
82955.751917839,452,50,7243,0
82955.863973855,456,50,7248,0
82956.007504463,457,50,7226,0
82956.109255075,462,50,7230,0
82956.205246686,464,50,7248,0
82956.308213233,465,50,7234,0
82956.402956247,469,50,7230,0
82956.511653661,469,50,7228,0
82956.612791538,469,50,7226,0
82956.704961538,471,50,7243,0
82956.773472785,475,50,7221,0
82956.860746383,479,50,7250,0
82956.963564395,478,255,7250,0
82957.067276239,479,50,7234,0
82957.160053253,480,50,7239,0
82957.261596441,483,50,7248,0
82957.373571872,487,50,7230,0
82957.521396398,487,50,7246,0
82957.597530364,487,50,7221,0
82957.698105096,487,50,7177,0
82957.786476612,490,50,7254,0
82957.894171476,496,50,7248,0
82957.98145008,496,50,7192,0
82958.079895019,496,50,7223,0
82958.175128221,500,50,7250,0
82958.276743173,501,50,7237,0
82958.426692724,508,50,7250,0
82958.518149614,509,50,7250,0
82958.616639375,510,50,7248,0
82958.705613136,511,50,7223,0
82958.788808107,511,50,7226,0
82958.902975797,516,50,7230,0
82958.979578971,516,50,7246,0
82959.087575197,520,50,7230,0
82959.238612174,520,50,7197,0
82959.345495223,525,50,7223,0
82959.447242736,527,50,7248,0
82959.574370861,530,50,7243,0
82959.649368524,530,50,7237,0
82959.747899293,534,50,7248,0
82959.832332134,534,50,7232,0
82959.941331148,534,50,7223,0
82960.026027441,535,50,7210,0
82960.113476037,536,50,7230,0
82960.291205644,540,50,7212,0
82960.391594171,544,50,7237,0
82960.491396427,548,50,7230,0
82960.613538503,548,50,7230,0
82960.730585098,548,50,7221,0
82960.96045947,554,50,7248,0
82961.061096668,556,50,7241,0
82961.158175945,558,50,7254,0
82961.238720178,561,50,7228,0
82961.336591958,561,50,7239,0
82961.445582389,563,50,7228,0
82961.564050197,563,50,7237,0
82961.801344871,571,50,7243,0
82961.901478052,572,50,7228,0
82962.099681854,578,50,7234,0
82962.21231389,580,50,7237,0
82962.546742439,585,50,7223,0
82962.646971702,586,50,7201,0
82962.746985435,590,50,7226,0
82962.885654449,590,50,7228,0
82962.998636007,591,50,7186,0
82963.125583171,597,50,7234,0
82963.226871252,598,50,7226,0
82963.353747129,598,50,7179,0
82963.455411911,598,50,7223,0
82963.560171604,602,50,7206,0
82963.649564981,602,50,7195,0
82963.727060079,602,50,7228,0
82963.824412822,604,50,7179,0
82963.966221809,605,50,7121,0
82964.047907829,605,50,7141,0
82964.149870395,606,50,7172,0
82964.256364107,608,50,7077,0
82964.379534482,608,50,7041,0
82964.481511116,608,50,7090,0
82964.584745883,610,50,7079,0
82964.668544292,610,50,7104,0
82964.764760494,611,50,6971,0
82964.862937927,611,50,6968,0
82964.963417768,612,50,6993,0
82965.067092657,612,50,6877,0
82965.155013799,613,50,6931,0
82965.256822586,612,50,6959,0
82965.357918739,612,50,6837,0
82965.456436634,612,50,6806,0
82965.702523231,612,51,6700,0
82965.813498735,612,51,6724,0
82965.902684926,612,51,6638,0
82966.00766015,613,51,6660,0
82966.108673572,613,51,6627,0
82966.20271635,613,51,6514,0
82966.34102416,614,51,6573,0
82966.446573734,614,51,6518,0
82966.514725208,614,51,6551,0
82966.606585025,614,51,6394,0
82966.736278533,614,51,6440,0
82966.822039604,614,51,6349,0
82966.938697814,614,51,6338,0
82967.048713207,614,51,6354,0
82967.166203737,613,51,6327,0
82967.289971828,614,51,6434,0
82967.399044275,614,51,6405,0
82967.47680211,614,51,6290,0
82967.566766023,614,52,6290,0
82967.662476062,613,52,6301,0
82967.75985527,614,57,6407,1
82967.859043359,614,57,6445,1
82967.964026927,614,57,6403,1
82968.128259897,614,57,6385,1
82968.229067564,614,57,6407,1
82968.315855264,613,57,6336,1
82968.421788454,614,57,6387,1
82968.520528554,614,57,6420,1
82968.627427339,613,57,6358,1
82968.724648475,613,57,6374,1
82968.824568748,614,57,6412,1
82968.926002264,614,57,6354,1
82969.121872901,614,57,6400,1
82969.223295211,614,57,6372,1
82969.322036027,613,57,7121,1
82969.422127962,614,57,7137,1
82969.522142887,614,56,7121,1
82969.622155427,614,56,7117,1
82969.722616672,614,56,6376,1
82969.82224822,614,56,6294,1
82969.922064304,614,56,6425,1
82970.037654638,613,56,7148,1
82970.160945415,614,56,7095,1
82970.263848781,614,56,6443,1
82970.371556282,614,56,7104,1
82970.475890636,614,56,6354,1
82970.572781801,614,56,7126,1
82970.658300638,614,56,6471,1
82970.759014844,614,56,6365,1
82970.862778425,614,56,7121,1
82970.935083627,613,56,6409,1
82971.049603939,614,56,7139,1
82971.146947383,614,56,7150,1
82971.23817563,614,56,6454,1
82971.321919202,614,56,7115,1
82971.427808523,613,56,7117,1
82971.521945714,614,56,7132,1
82971.622240781,614,56,7148,1
82971.722062349,614,56,7088,1
82971.822052717,614,56,7110,1
82971.954374313,614,56,6292,1
82972.103146076,613,56,6392,1
82972.217850208,614,55,6520,1
82972.321658849,614,55,6469,1
82972.424298048,614,55,6478,1
82972.519989013,614,55,6613,1
82972.624542236,613,55,6715,1
82972.741979837,614,55,6722,1
82972.857064485,614,55,6664,1
82972.993461132,614,55,6780,1
82973.098980188,614,55,6824,1
82973.202979087,614,55,6806,1
82973.310055732,614,55,6833,1
82973.433326482,614,55,6653,1
82973.562823772,613,55,6718,1
82973.658292531,614,55,6999,1
82973.733404636,614,55,7108,1
82973.835049867,614,55,7061,1
82974.004366397,614,55,7033,1
82974.10446763,614,55,7073,1
82974.196528434,614,55,7099,1
82974.271091222,614,55,7166,1
82974.36648941,614,55,7188,1
82974.455614805,614,55,7188,1
82974.571067094,614,55,7197,1
82974.671696901,614,55,7221,1
82974.756698131,614,55,7230,1
82974.840422153,614,55,7230,1
82974.933338403,613,55,7232,1
82975.033279895,613,55,7237,1
82975.142165899,613,55,7248,0
82975.302793502,613,55,7234,0
82975.398556232,612,55,7248,0
82975.481735229,613,55,7250,0
82975.582392215,612,55,7310,0
82975.682109117,612,55,7314,0
82975.808393001,612,55,7283,0
82975.926725387,612,55,7339,0
82976.027161836,612,55,7252,0
82976.171099901,605,55,7243,0
82976.298406362,605,55,7246,0
82976.390252113,605,55,7248,0
82976.52880764,605,55,7254,0
82976.607817411,605,55,7250,0
82976.783168077,600,55,7257,0
82976.926721096,598,55,7250,0
82977.021563291,598,55,7241,0
82977.116123914,598,55,7234,0
82977.23008275,598,55,7250,0
82977.325023412,588,55,7272,0
82977.424010992,586,55,7252,0
82977.516403675,586,55,7259,0
82977.60349369,586,55,7239,0
82977.684173345,586,55,7248,0
82977.801205158,586,55,7237,0
82977.900403022,586,55,7250,0
82978.003621101,577,55,7250,0
82978.10109353,572,55,7257,0
82978.201627492,572,55,7252,0
82978.535275459,567,55,7237,0
82978.842447042,558,55,7252,0
82978.942683696,559,55,7254,0
82979.054914236,559,55,7230,0
82979.16123867,553,55,7248,0
82979.26812601,553,55,7243,0
82979.372800827,550,55,7243,0
82979.491404294,547,55,7250,0
82979.582810401,547,55,7250,0
82979.688889026,547,55,7234,0
82979.81431961,542,55,7248,0
82979.924747228,541,55,7226,0
82980.01026988,541,55,7232,0
82980.108685255,533,55,7237,0
82980.214999198,530,55,7239,0
82980.344423055,530,55,7234,0
82980.475297451,530,55,7241,0
82980.592745065,525,55,7257,0
82980.722355604,520,55,7248,0
82980.84825778,520,55,7250,0
82980.977456092,519,55,7250,0
82981.120076894,513,55,7246,0
82981.220890998,513,55,7317,0
82981.565611839,505,55,7239,0
82981.666507005,502,55,7252,0
82981.788203001,501,55,7248,0
82981.893192291,501,55,7223,0
82981.979016542,501,55,7230,0
82982.188466548,490,55,7257,0
82982.281048536,487,55,7261,0
