time,position,temperature,voltage,label
77253.765345335,498,31,7272,0
77253.865345954,498,31,7303,0
77253.965357542,498,31,7308,0
77254.065415382,498,31,7257,0
77254.16547203,497,31,7270,0
77254.265375137,498,31,7317,0
77254.365320205,498,31,7283,0
77254.465347528,498,31,7317,0
77254.565428495,497,31,7290,0
77254.665424346,498,31,7301,0
77254.76541233,498,31,7292,0
77254.865381002,499,31,7268,0
77254.965408086,498,31,7285,0
77255.06557393,498,31,7265,0
77255.165539979,498,31,7268,0
77255.265436649,497,31,7312,0
77255.365509033,497,31,7274,0
77255.465513467,499,31,7292,0
77255.5654428,497,31,7312,0
77255.665408849,498,31,7261,0
77255.765439748,498,31,7290,0
77255.86553955,497,31,7301,0
77255.965513467,497,31,7259,0
77256.065439224,498,31,7310,0
77256.165410757,497,31,7268,0
77256.265377998,498,31,7274,0
77256.365402936,497,31,7325,0
77256.465375661,497,31,7257,0
77256.565472602,498,31,7257,0
77256.665371417,497,31,7279,0
77256.765607118,497,31,7297,0
77256.865433931,498,31,7279,0
77256.965353012,498,31,7317,0
77257.065479278,499,31,7294,0
77257.165344715,498,31,7319,0
77257.265368223,498,31,7314,0
77257.365392684,498,31,7272,0
77257.465372323,497,31,7328,0
77257.56535077,498,31,7277,0
77257.692427635,497,31,7352,0
77257.771554708,498,31,7288,0
77257.865397691,497,31,7274,0
77257.965418577,493,31,7254,0
77258.065376758,498,31,7263,0
77258.165384292,497,31,7248,0
77258.265450477,497,31,7310,0
77258.365374565,499,31,7303,0
77258.465463399,497,31,7272,0
77258.565431833,498,31,7243,0
77258.665674448,499,31,7314,0
77258.76548624,498,31,7290,0
77258.86540842,498,31,7290,0
77258.96538186,497,31,7281,0
77259.065454006,497,31,7305,0
77259.165433168,498,31,7270,0
77259.26555109,497,31,7301,0
77259.365443944,498,31,7254,0
77259.465441942,498,31,7274,0
77259.565542459,497,31,7257,0
77259.665428876,499,31,7283,0
77259.765651226,498,31,7308,0
77259.865378379,498,31,7241,0
77259.965449333,498,31,7277,0
77260.065582036,497,31,7297,0
77260.165518522,497,31,7308,0
77260.265507698,498,31,7259,0
77260.36542654,499,31,7303,0
77260.465403556,497,31,7250,0
77260.565418481,499,31,7272,0
77260.665542602,498,31,7290,0
