time,position,temperature,voltage,label
76522.025432825,825,25,7270,0
76522.1254642,825,25,7345,0
76522.225431919,825,25,7277,0
76522.325432062,825,25,7263,0
76522.425450801,824,25,7303,0
76522.525552272,825,25,7277,0
76522.625410318,825,25,7272,0
76522.725539445,825,25,7281,0
76522.82544732,825,25,7272,0
76522.925411939,825,25,7263,0
76523.025553226,825,25,7285,0
76523.125598669,825,25,7270,0
76523.225558757,825,25,7257,0
76523.325604915,825,25,7279,0
76523.42547512,825,25,7279,0
76523.525536537,825,25,7299,0
76523.62590909,825,25,7272,0
76523.725750446,825,25,7279,0
76523.825663566,825,25,7336,0
76523.925552606,825,25,7299,0
76524.025521039,825,25,7281,0
76524.125481128,825,25,7274,0
76524.225482702,825,25,7265,0
76524.325521945,825,25,7290,0
76524.42563939,825,25,7292,0
76524.525492191,825,25,7374,0
76524.625481843,825,25,7310,0
76524.725531578,825,25,7310,0
76524.825470209,825,25,7283,0
76524.925621747,825,25,7308,0
76525.025519371,825,25,7283,0
76525.125555038,825,25,7285,0
76525.225550651,825,25,7308,0
76525.325513362,825,25,7283,0
76525.425529241,825,25,7272,0
76525.525645494,825,25,7270,0
76525.625630378,825,25,7283,0
76525.725460052,825,25,7265,0
76525.825658798,825,25,7248,0
76525.925649404,825,25,7277,0
76526.025486707,825,25,7263,0
76526.125761747,825,25,7317,0
76526.225481986,825,25,7272,0
76526.325483322,825,25,7317,0
76526.425577402,825,25,7277,0
76526.52544403,825,25,7274,0
76526.625433206,825,25,7270,0
76526.725420475,825,25,7270,0
76526.825541019,825,25,7290,0
76526.925434589,825,25,7283,0
76527.02545166,825,25,7350,0
76527.125466346,825,25,7263,0
76527.225457191,825,25,7290,0
76527.325495719,825,25,7301,0
76527.425559282,825,25,7323,0
76527.525390863,825,25,7283,0
76527.62546277,825,25,7363,0
76527.725536584,825,25,7268,0
76527.825504779,825,25,7292,0
76527.925552845,825,25,7297,0
76528.025474071,825,25,7274,0
76528.125495195,825,25,7308,0
76528.225506305,825,25,7281,0
76528.325544118,825,25,7352,0
76528.425591707,825,25,7343,0
76528.525470972,825,25,7301,0
76528.6255939,825,25,7274,0
76528.725417137,825,25,7283,0
76528.825505971,825,25,7292,0
76528.92556262,825,25,7270,0
76529.025512933,825,25,7348,0
76529.125510931,825,25,7321,0
76529.225606918,825,25,7285,0
76529.325441598,825,25,7283,0
76529.425524234,825,25,7259,0
76529.525528669,825,25,7285,0
76529.625624895,825,25,7281,0
76529.725564002,825,25,7290,0
76529.825554609,825,25,7277,0
76529.92551279,825,25,7279,0
76530.025502204,825,25,7279,0
76530.125498533,825,25,7341,0
76530.225608348,825,25,7294,0
76530.325474023,825,25,7274,0
76530.425500631,825,25,7268,0
76530.525485992,825,25,7268,0
76530.62545371,825,25,7279,0
76530.725488662,825,25,7281,0
76530.82549262,825,25,7356,0
76530.925476551,825,25,7281,0
76531.025476932,825,25,7272,0
76531.125450134,825,25,7265,0
76531.225541353,825,25,7265,0
76531.325507402,825,25,7332,0
76531.425650358,825,25,7361,0
76531.525571107,825,25,7345,0
76531.625521659,825,25,7272,0
76531.72548747,825,25,7274,0
76531.825408458,825,25,7336,0
76531.925448179,825,25,7288,0
76532.025513172,825,25,7277,0
76532.125506877,825,25,7265,0
76532.225667238,824,25,7308,0
76532.325937747,825,25,7279,0
76532.425506353,825,25,7350,0
76532.525482416,824,25,7359,0
76532.625533103,825,25,7299,0
76532.725444078,825,25,7332,0
76532.82551074,825,25,7292,0
76532.925808429,825,25,7281,0
76533.025488853,825,25,7343,0
76533.125668287,825,25,7274,0
76533.22574234,825,25,7288,0
76533.325531244,825,25,7252,0
76533.425539731,825,25,7343,0
76533.525518178,825,25,7281,0
76533.62551546,825,25,7305,0
76533.725489854,825,25,7283,0
76533.825487136,825,25,7343,0
76533.925584793,825,25,7279,0
76534.025764465,825,25,7263,0
76534.125533103,825,25,7241,0
76534.226157665,825,25,7348,0
76534.325502634,825,25,7261,0
76534.425436019,825,25,7270,0
76534.525414943,825,25,7279,0
76534.625422954,825,25,7323,0
76534.725455284,825,25,7345,0
76534.825432777,825,25,7268,0
76534.925569057,825,25,7352,0
76535.025546073,825,25,7281,0
76535.125402927,825,25,7356,0
76535.225461483,825,25,7274,0
76535.325466871,825,25,7294,0
76535.425513267,825,25,7352,0
76535.525452136,825,25,7348,0
76535.625451087,825,25,7299,0
76535.725481271,825,25,7352,0
76535.825478076,825,25,7290,0
76535.92564845,825,25,7354,0
76536.025525808,825,25,7348,0
76536.125448703,825,25,7297,0
76536.225471735,825,25,7290,0
76536.325491905,825,25,7336,0
76536.425485372,825,25,7288,0
76536.525714159,825,25,7290,0
76536.62550044,824,25,7308,0
76536.725572824,825,25,7352,0
76536.825556039,825,25,7301,0
76536.925504684,825,25,7290,0
76537.025409936,825,25,7352,0
76537.125483989,825,25,7270,0
76537.225634574,825,25,7279,0
76537.325493574,825,25,7310,0
76537.431225538,825,25,7317,0
76537.525452852,825,25,7334,0
76537.625510692,825,25,7290,0
76537.725567817,825,25,7343,0
76537.825505733,825,25,7279,0
76537.925557613,825,25,7292,0
76538.025509357,825,25,7348,0
76538.125557422,825,25,7277,0
76538.22544527,825,25,7330,0
76538.32548809,825,25,7354,0
76538.425437211,825,25,7288,0
76538.525538921,825,25,7283,0
76538.625454425,825,25,7270,0
76538.725456237,825,25,7272,0
76538.825486898,825,25,7343,0
76538.92560029,825,25,7272,0
76539.025403022,825,25,7265,0
76539.125434637,825,25,7279,0
76539.225390672,825,25,7272,0
76539.325533866,825,25,7345,0
76539.425523281,825,25,7285,0
76539.525407314,825,25,7265,0
76539.625417947,825,25,7248,0
76539.725497484,825,25,7288,0
76539.825453996,825,25,7288,0
76539.925440549,825,25,7356,0
76540.025565862,825,25,7288,0
76540.125623703,825,25,7301,0
76540.225433111,825,25,7368,0
76540.325626611,825,25,7288,0
76540.42552495,825,25,7265,0
76540.525574207,825,25,7288,0
76540.6255517,825,25,7345,0
76540.725612878,825,25,7310,0
76540.825422525,825,25,7336,0
76540.925634145,825,25,7297,0
76541.025516271,825,25,7288,0
76541.125493526,825,25,7274,0
76541.22563219,825,25,7279,0
76541.325510025,825,25,7328,0
76541.425570487,825,25,7259,0
76541.525543689,825,25,7259,0
76541.625446319,825,25,7265,0
76541.725522756,825,25,7328,0
76541.825608015,824,25,7285,0
76541.925605773,825,25,7259,0
76542.025598526,825,25,7330,0
76542.125625848,825,25,7268,0
76542.225443601,825,25,7270,0
76542.325443267,825,25,7317,0
76542.425507307,825,25,7332,0
76542.525522232,825,25,7361,0
76542.625501394,825,25,7261,0
76542.725493669,825,25,7261,0
76542.825500488,825,25,7270,0
76542.925460815,825,25,7294,0
76543.025548458,825,25,7270,0
76543.125448703,825,25,7285,0
76543.225466251,825,25,7332,0
76543.32542777,825,25,7334,0
76543.425446987,825,25,7285,0
76543.525418996,825,25,7277,0
76543.625467061,825,25,7285,0
76543.725442409,825,25,7290,0
76543.825518369,825,25,7281,0
76543.92542386,825,25,7277,0
