time,position,temperature,voltage,label
79819.858995914,498,24,7325,0
79820.059019088,499,24,7348,0
79820.259004592,499,24,7303,0
79820.45906949,499,24,7323,0
79820.659045696,498,24,7305,0
79820.859003543,499,24,7281,0
79821.058958768,499,24,7323,0
79821.258976459,499,24,7325,0
79821.459001302,499,24,7270,0
79821.659085512,499,24,7312,0
79821.859125852,499,24,7279,0
79822.05901885,499,24,7314,0
79822.259120464,498,24,7305,0
79822.459297895,499,24,7325,0
79822.659166097,498,24,7308,0
79822.85893321,499,24,7290,0
79823.059051036,499,24,7308,0
79823.259069442,499,24,7317,0
79823.45900774,498,24,7334,0
79823.659220933,500,24,7321,0
79823.85907793,499,24,7297,0
79824.058990001,499,24,7339,0
79824.25905466,499,24,7263,0
79824.458915472,499,24,7328,0
79824.659040689,499,24,7332,0
79824.859038114,499,24,7312,0
79825.059033393,499,24,7290,0
79825.258962631,498,24,7319,0
79825.459237575,499,24,7323,0
79825.659011125,498,24,7310,0
79825.859089136,499,24,7283,0
79826.059017658,499,24,7321,0
79826.259090662,499,24,7301,0
79826.459183692,498,24,7305,0
79826.658946514,498,24,7339,0
79826.858977794,498,24,7325,0
79827.05911827,498,24,7356,0
79827.258903503,498,24,7319,0
79827.458977937,499,24,7317,0
79827.658961296,499,24,7339,0
79827.858984708,499,24,7343,0
79828.058935642,499,24,7310,0
79828.259036779,498,24,7308,0
79828.459429979,498,24,7321,0
79828.659137964,499,24,7288,0
79828.859547376,499,24,7303,0
79829.058845996,498,24,7325,0
79829.258924245,499,24,7279,0
79829.458997964,499,24,7308,0
79829.658982753,499,24,7312,0
79829.859216451,499,24,7301,0
79830.059085369,499,24,7321,0
79830.25906229,499,24,7299,0
79830.459095478,498,24,7290,0
79830.658951759,498,24,7301,0
79830.858972311,499,24,7305,0
79831.058982372,499,24,7312,0
79831.259083509,499,24,7328,0
79831.458958625,499,24,7321,0
79831.659136295,499,24,7297,0
79831.859065771,499,24,7312,0
79832.05892682,499,24,7314,0
79832.258893728,499,24,7268,0
79832.459257602,498,24,7272,0
79832.659030199,499,24,7328,0
79832.858994483,499,24,7268,0
79833.059165954,499,24,7334,0
79833.258952856,499,24,7274,0
79833.459027051,498,24,7323,0
79833.65937972,498,24,7330,0
79833.858913183,499,24,7308,0
79834.059010505,498,24,7303,0
79834.258889675,498,24,7312,0
79834.459403991,499,24,7272,0
79834.658803701,498,24,7290,0
79834.901024341,498,24,7305,0
79835.058947086,499,24,7265,0
79835.25881195,499,24,7274,0
79835.458836555,499,24,7317,0
79835.658884048,499,24,7281,0
79835.858834266,499,24,7361,0
79836.05893588,499,24,7308,0
79836.258971214,498,24,7321,0
79836.459108352,499,24,7350,0
79836.658994674,499,24,7317,0
79836.858928442,499,24,7343,0
79837.059104442,499,24,7328,0
79837.259143114,499,24,7305,0
79837.459077835,498,24,7332,0
79837.659064292,498,24,7314,0
79837.859186887,499,24,7334,0
79838.059012889,499,24,7328,0
79838.259019613,499,24,7290,0
79838.459047794,499,24,7308,0
79838.659049749,499,24,7321,0
79838.859053611,499,24,7323,0
79839.058989763,499,24,7359,0
79839.258966207,499,24,7312,0
79839.458982706,499,24,7321,0
79839.658947229,499,24,7339,0
79839.85906434,499,24,7279,0
79840.059021234,498,24,7325,0
79840.258917331,498,24,7328,0
79840.458893537,499,24,7274,0
79840.65900731,499,24,7328,0
79840.858992576,499,24,7299,0
79841.059123277,498,24,7301,0
79841.259097337,499,24,7361,0
79841.459257602,498,24,7345,0
79841.658984899,498,24,7290,0
79841.859085559,499,24,7319,0
79842.059086561,499,24,7323,0
79842.2589612,499,24,7297,0
79842.459142684,500,24,7345,0
79842.659020185,499,24,7314,0
79842.859117984,499,24,7299,0
79843.058978796,499,24,7350,0
79843.25918436,499,24,7308,0
79843.458973407,498,24,7290,0
79843.65896821,499,24,7317,0
79843.85900855,498,24,7290,0
79844.05892682,499,24,7330,0
79844.258930444,499,24,7292,0
79844.458973169,500,24,7330,0
79844.658931255,499,24,7328,0
79844.859319448,499,24,7294,0
79845.059031963,499,24,7299,0
79845.259083509,498,24,7297,0
79845.459049224,497,24,7330,0
79845.659058332,499,24,7339,0
79845.858953952,499,24,7317,0
79846.059121608,499,24,7301,0
79846.259027004,499,24,7272,0
79846.459024429,499,24,7339,0
79846.659020662,499,24,7290,0
79846.859223604,498,24,7310,0
79847.059151411,499,24,7323,0
79847.259019374,499,24,7317,0
79847.458973884,499,24,7290,0
79847.658946275,499,24,7325,0
79847.858979701,499,24,7334,0
79848.058956146,498,24,7283,0
79848.259270906,499,24,7283,0
79848.459220647,499,24,7328,0
79848.658987998,497,24,7301,0
79848.858989715,498,24,7319,0
79849.059005498,499,24,7345,0
79849.259056568,499,24,7317,0
79849.458972454,499,24,7325,0
79849.659006357,498,24,7292,0
79849.859000205,500,24,7330,0
79850.058906793,498,24,7308,0
79850.259094476,499,24,7339,0
79850.459002256,499,24,7328,0
79850.658967494,498,24,7303,0
79850.859605312,499,24,7279,0
79851.058960199,499,24,7314,0
79851.259113073,499,24,7350,0
79851.459008932,499,24,7330,0
79851.659031629,498,24,7310,0
79851.85906744,499,24,7281,0
79852.059023857,499,24,7328,0
79852.258902072,498,24,7308,0
79852.45919919,498,24,7321,0
79852.65892744,499,24,7292,0
79852.858963727,499,24,7261,0
79853.058931112,499,24,7361,0
79853.259021282,499,25,7392,0
79853.458891153,498,24,7283,0
79853.659130334,499,24,7350,0
79853.858950138,499,24,7348,0
79854.059147834,498,24,7383,0
79854.25898838,499,24,7299,0
79854.458968877,500,24,7328,0
79854.658987283,499,24,7330,0
79854.859060764,499,24,7332,0
79855.058984994,498,24,7407,0
79855.259929895,499,24,7356,0
79855.458925962,526,25,7281,0
79855.659076213,527,25,7330,0
79855.858950138,562,25,7387,0
79856.05894947,586,25,7374,0
79856.25897789,608,25,7328,0
79856.458930015,609,26,7321,0
79856.658939838,609,26,7308,0
79856.859007835,609,26,7325,0
79857.059036493,609,26,7263,0
79857.259001016,609,27,7319,0
79857.458925724,610,27,7310,0
79857.658944368,610,27,7294,0
79857.85907793,610,27,7323,0
79858.058954715,610,27,7299,0
79858.259245157,610,28,7328,0
79858.459079027,609,28,7325,0
79858.659076929,610,28,7285,0
79858.859076976,609,28,7330,0
79859.059033155,610,28,7334,0
79859.258995532,610,28,7268,0
79859.459013462,610,28,7305,0
79859.659135818,610,28,7341,0
79859.8589046,610,28,7312,0
79860.059236526,610,28,7317,0
79860.258980035,610,28,7339,0
79860.458991527,610,28,7336,0
79860.658915281,610,28,7323,0
79860.859067916,610,28,7339,0
79861.058962345,610,28,7294,0
79861.259029388,610,27,7317,0
79861.458973884,610,27,7341,0
79861.65887022,610,27,7321,0
79861.859006404,610,27,7321,0
79862.059104204,610,27,7348,0
79862.258942127,610,27,7317,0
79862.459518671,610,27,7279,0
79862.659039974,610,27,7314,0
79862.858955621,610,27,7303,0
79863.05894804,610,27,7345,0
