time,position,temperature,voltage,label
95259.712528944,504,45,7339,0
95259.812635421,503,45,7310,0
95259.912526369,504,45,7285,0
95260.012733697,503,45,7292,0
95260.112560749,504,45,7299,0
95260.21266818,504,45,7305,0
95260.312612771,504,45,7305,0
95260.41271758,504,45,7254,0
95260.512588739,503,45,7268,0
95260.612552642,504,45,7305,0
95260.712562084,503,45,7312,0
95260.812540054,504,45,7321,0
95260.912546396,504,45,7294,0
95261.012553453,504,45,7305,0
95261.112492799,504,45,7285,0
95261.212522506,504,45,7314,0
95261.312574625,503,45,7339,0
95261.412562131,504,45,7310,0
95261.512699127,504,45,7319,0
95261.612673997,503,45,7303,0
95261.712476253,504,45,7288,0
95261.812580823,504,45,7297,0
95261.912543535,504,45,7303,0
95262.012527704,504,45,7279,0
95262.112530708,504,45,7292,0
95262.212596654,504,45,7334,0
95262.312517642,504,45,7297,0
95262.412526607,504,45,7328,0
95262.512601852,504,45,7277,0
95262.612648725,504,45,7303,0
95262.712654829,504,45,7328,0
95262.812486171,504,45,7259,0
95262.912475109,504,45,7319,0
95263.012547254,504,45,7328,0
95263.112513542,503,45,7312,0
95263.222056388,503,45,7277,0
95263.312515735,504,45,7297,0
95263.413098096,504,45,7305,0
95263.512953042,504,45,7305,0
95263.612547636,504,45,7314,0
95263.712619304,503,45,7285,0
95263.812548637,503,45,7277,0
95263.912529706,504,45,7299,0
95264.012637853,504,45,7308,0
95264.112560272,504,45,7279,0
95264.212619304,504,45,7277,0
95264.312607288,503,45,7279,0
95264.41258955,504,45,7343,0
95264.5125494,503,45,7330,0
95264.612579822,503,45,7279,0
95264.712678194,504,45,7299,0
95264.812553167,501,45,7254,0
95264.91258645,486,45,7310,0
95265.01257348,484,45,7223,0
95265.112571716,486,45,7290,0
95265.212525129,485,45,7321,0
95265.312551975,486,45,7332,0
95265.412848472,479,45,7310,0
95265.512562036,473,45,7146,0
95265.612628221,473,45,7334,0
95265.712625265,469,45,7299,0
95265.812552452,459,45,7312,0
95265.912575721,463,45,7283,0
95266.012473583,460,45,7361,0
95266.112557649,460,45,7343,0
95266.212587594,461,45,7305,0
95266.312638759,445,45,7181,0
95266.412514925,414,45,7317,0
95266.512539148,409,45,7294,0
95266.612479209,407,45,7281,0
95266.712510108,408,45,7292,0
95266.812583208,407,45,7272,0
95266.91255927,407,45,7279,0
95267.012573957,407,45,7277,0
95267.112494945,407,45,7268,0
95267.212767839,407,45,7292,0
95267.312513113,397,45,7308,0
95267.412566423,355,45,7272,0
95267.51252079,346,45,7274,0
95267.612539291,345,45,7223,0
95267.712536096,347,45,7277,0
95267.812630414,344,45,7228,0
95267.912521839,346,45,7277,0
95268.012484073,345,45,7241,0
95268.112649679,342,45,7323,0
95268.2126863,339,45,7285,0
95268.312576532,339,45,7265,0
95268.412797451,329,45,7308,0
95268.512635231,327,45,7268,0
95268.612603187,325,45,7279,0
95268.712523937,325,45,7219,0
95268.812550067,289,45,7305,0
95268.943913459,286,45,7243,0
95269.031264543,287,45,7265,0
95269.112595081,283,45,7301,0
95269.21255517,283,45,7299,0
95269.312559604,283,45,7299,0
95269.412551164,283,45,7305,0
95269.512659549,283,45,7339,0
95269.612551689,282,45,7301,0
95269.712554931,282,45,7330,0
95269.812634706,282,45,7294,0
95269.912672281,283,45,7297,0
95270.012515783,283,45,7297,0
95270.112566947,283,45,7301,0
95270.212571859,282,45,7299,0
95270.312569141,282,45,7274,0
95270.412544488,283,45,7272,0
95270.707588911,284,45,7199,0
95270.76663661,285,45,7208,0
95270.837409496,285,45,7261,0
95270.927734613,285,45,7248,0
95270.991587877,285,45,7243,0
95271.17796874,285,45,7208,0
95271.264083147,285,45,7190,0
95271.355812072,285,45,7217,0
95271.431516647,300,45,6855,0
95271.522746324,340,45,7248,0
95271.608764886,372,45,7290,0
95271.691796541,370,45,7270,0
95271.766623497,366,45,6789,0
95271.852545261,371,45,7277,0
95271.917660951,377,45,7186,0
95272.01243329,400,45,7037,0
95272.112548112,404,45,7259,0
95272.212708711,417,45,7161,0
95272.312703847,445,45,7226,0
95272.412597179,468,45,7292,0
95272.51486206,480,45,7243,0
95272.612572431,489,45,7288,0
95272.712567329,488,45,7263,0
95272.812676906,486,45,7239,0
95272.912574291,487,45,6542,0
95273.012588977,509,45,6456,0
95273.112572431,541,45,7330,0
95273.212561845,541,45,7332,0
95273.31254673,551,45,7279,0
95273.412479162,578,45,7310,0
95273.512548446,591,45,7272,0
95273.612490177,594,45,7325,0
95273.712605953,599,45,7290,0
95273.812503814,599,45,6840,0
95273.912558555,610,45,7325,0
95274.012532711,612,45,7285,0
95274.112630128,635,45,7334,0
95274.430001258,636,45,7279,0
95274.530196428,636,45,7334,0
95274.630194664,637,45,7299,0
95274.730277538,642,45,7308,0
95274.830209732,653,45,7336,0
95274.93290019,662,45,7268,0
95275.030436038,663,45,7301,0
95275.130305051,663,45,7279,0
95275.230513811,664,45,7246,0
95275.330284595,663,45,7290,0
95275.43019104,663,45,7252,0
95275.530350923,663,45,7285,0
95275.630108833,663,45,7279,0
95275.730223178,663,45,7294,0
95275.830375671,664,45,7248,0
95275.930168628,663,45,7250,0
95276.030436277,663,45,7259,0
95276.130181312,663,45,7268,0
95276.230300188,663,45,7301,0
95276.330170392,663,45,7270,0
95276.430352449,663,45,7288,0
95276.53028059,663,45,7263,0
95276.630228996,663,45,7288,0
95276.730237483,663,45,7257,0
95276.830260992,664,45,7277,0
95276.930269002,663,45,7279,0
