time,position,temperature,voltage,label
80889.389582157,545,32,7283,0
80889.489726543,545,32,7301,0
80889.589498043,545,32,7290,0
80889.689537286,545,32,7303,0
80889.789824485,545,32,7294,0
80889.889541149,545,32,7279,0
80889.989657878,545,32,7259,0
80890.091254472,545,32,7294,0
80890.189757585,545,32,7325,0
80890.289897441,545,32,7288,0
80890.389781713,545,32,7252,0
80890.489693403,545,32,7272,0
80890.589475393,545,32,7288,0
80890.689637899,545,32,7299,0
80890.789580106,545,32,7308,0
80890.889548301,545,32,7294,0
80890.989634513,545,32,7279,0
80891.089671373,545,32,7277,0
80891.189621686,545,32,7294,0
80891.289560794,545,32,7274,0
80891.389479875,545,32,7301,0
80891.489770174,545,32,7252,0
80891.589502573,545,32,7294,0
80891.689529657,545,32,7314,0
80891.789583683,545,32,7288,0
80891.889549493,545,32,7257,0
80891.989464282,545,32,7257,0
80892.089527606,545,32,7239,0
80892.189504146,545,32,7250,0
80892.289531946,545,32,7254,0
80892.389578342,545,32,7252,0
80892.489558219,545,32,7252,0
80892.589739084,545,32,7261,0
80892.689509868,545,32,7241,0
80892.78950572,545,32,7254,0
80892.889451503,545,32,7263,0
80892.989612817,545,32,7246,0
80893.089517593,545,32,7246,0
80893.189594268,545,32,7243,0
80893.289455175,545,32,7248,0
80893.389486312,545,32,7265,0
80893.48950386,545,32,7248,0
80893.589610099,545,32,7257,0
80893.689571619,545,32,7246,0
80893.789716005,545,32,7250,0
80893.889525651,545,32,7243,0
80893.989571332,545,32,7268,0
80894.089519023,545,32,7239,0
80894.189551115,545,32,7197,0
80894.289472341,545,32,7241,0
80894.389541864,545,32,7241,0
80894.497666358,545,32,7261,0
80894.59234476,545,32,7232,0
80894.724176883,545,32,7248,0
80894.803349018,545,32,7265,0
80894.889713525,545,32,7254,0
80894.98954153,545,32,7270,0
80895.317220211,545,32,7277,0
80895.417443752,545,32,7283,0
80895.517367124,545,32,7297,0
80895.617467403,545,32,7257,0
80895.717460632,545,32,7317,0
80895.817291021,545,32,7066,0
80895.960940122,545,32,7243,0
80896.147998094,545,32,7248,0
80896.233666419,545,32,7243,0
80896.304492712,545,32,7257,0
80896.390417098,545,32,7015,0
80896.539914131,545,32,7015,0
80896.609219312,545,32,6975,0
80896.697402954,545,32,6995,0
80896.799864053,545,32,7002,0
80896.886421918,545,32,6995,0
80896.966920375,545,32,6973,0
80897.048115491,545,32,6984,0
80897.117494821,545,32,6988,0
80897.217379331,545,32,7004,0
80897.317686796,545,32,6977,0
80897.417352676,545,32,7015,0
80897.517578125,545,32,6993,0
80897.617566347,545,32,6999,0
80897.717379808,545,32,6977,0
80897.81748557,545,32,6977,0
80897.917448043,545,32,7010,0
80898.01732707,545,32,6971,0
80898.137753248,545,32,6964,0
80898.224052906,545,32,7004,0
80898.317415714,545,32,7004,0
80898.41753149,545,32,6975,0
80898.517373085,545,32,6988,0
80898.617380857,545,32,6995,0
80898.717429876,545,32,6973,0
80898.817363977,545,32,6855,0
80898.917394876,545,32,6990,0
80899.017432928,545,32,7241,0
80899.117588281,545,32,7219,0
80899.217407464,545,32,7246,0
80899.317387342,545,32,7226,0
80899.417553186,545,32,6653,0
80899.522094011,545,32,7243,0
80899.617467164,545,32,7234,0
80899.717417478,545,32,7243,0
80899.817408561,545,32,7237,0
80899.917445182,545,32,7252,0
80900.017326593,545,32,7206,0
80900.117397785,545,32,7241,0
80900.217472076,545,32,7246,0
80900.31775093,545,32,7243,0
80900.417608976,545,32,7208,0
80900.517385721,545,32,7248,0
80900.617381095,545,32,7254,0
80900.717404603,545,32,7221,0
80900.817346811,545,32,7232,0
80900.918002367,545,32,7246,0
80901.017379045,545,32,7241,0
80901.117338895,545,32,7241,0
80901.217323541,545,32,7254,0
80901.317191362,545,32,7223,0
80901.417385816,545,32,7221,0
80901.517378807,545,32,7265,0
80901.617616176,545,32,7243,0
80901.717425107,545,32,7230,0
80901.817450284,545,32,7214,0
80901.917405128,545,32,7248,0
80902.01791048,545,32,7261,0
80902.117448329,545,32,7243,0
80902.217411994,545,32,7259,0
80902.317375898,545,32,7239,0
80902.417547941,545,32,7263,0
80902.517728328,545,32,7250,0
80902.617842435,545,32,7261,0
80902.717439174,545,32,7268,0
80902.817395687,545,32,7259,0
80902.917590856,545,32,7226,0
80903.01742959,545,32,7223,0
80903.117448091,545,32,7254,0
80903.217358589,545,32,7237,0
80903.317406654,545,32,7188,0
80903.4173882,545,32,7226,0
80903.517529487,545,32,7232,0
80903.617548704,545,32,7243,0
80903.717440366,545,32,7219,0
80903.817436456,545,32,7181,0
80903.917443275,545,32,7237,0
80904.017384529,545,32,7199,0
80904.117439031,545,32,7221,0
80904.2174685,545,32,7243,0
80904.31752777,545,32,7212,0
80904.417380571,545,32,7206,0
80904.517607688,545,32,7223,0
80904.617372512,545,32,7228,0
80904.717405796,545,32,7208,0
80904.817358732,545,32,7203,0
80904.917382001,545,32,7219,0
80905.017381429,545,32,7217,0
80905.117504596,545,32,7237,0
80905.217389345,545,32,7203,0
80905.317523241,545,32,7217,0
80905.417437553,544,32,7057,0
80905.517320394,550,32,7239,0
80905.641360998,544,32,7246,0
80905.735598087,545,32,7246,0
80905.817394495,545,32,7248,0
80905.917456388,545,32,7223,0
80906.017493247,545,32,7243,0
80906.117270469,545,32,7230,0
80906.217365741,545,32,7206,0
80906.317393779,545,32,7219,0
80906.417669296,545,32,7232,0
80906.51751995,545,32,7232,0
80906.617451429,545,32,7259,0
80906.717406511,545,32,7248,0
80906.817382812,545,32,7228,0
80906.920006752,545,32,7228,0
80907.017323255,545,32,7241,0
80907.117486238,545,32,7239,0
80907.217366218,545,32,7239,0
80907.31752181,545,32,7221,0
80907.417542219,545,32,7223,0
80907.517308235,545,32,7274,0
80907.617425441,545,32,7270,0
80907.717536449,545,32,7230,0
80907.817387342,545,32,7261,0
80907.917773485,545,32,6795,0
80908.017439126,544,32,7259,0
80908.117501258,545,32,7259,0
80908.217461585,545,32,7248,0
80908.317344665,545,32,7208,0
80908.41878581,545,32,7223,0
80908.517372608,545,32,7246,0
80908.617731094,545,32,7186,0
80908.71736145,545,32,7243,0
80908.817441463,545,32,7228,0
80908.91742587,544,32,7212,0
80909.017361402,545,32,7217,0
80909.117350578,545,32,7250,0
80909.217276573,545,32,7188,0
80909.324029445,545,32,7217,0
80909.417411565,545,32,7214,0
80909.53180027,545,32,7250,0
80909.6173532,545,32,7210,0
80909.717993021,545,32,7241,0
80909.817362546,545,32,7248,0
80909.917329311,545,32,7239,0
80910.017399549,545,32,7210,0
80910.117483615,545,32,7230,0
80910.217420816,545,32,7214,0
80910.317342281,545,32,7246,0
80910.417495012,545,32,7250,0
80910.517805337,545,32,7241,0
80910.617403984,545,32,7263,0
80910.717348814,545,32,7254,0
80910.81744194,545,32,7259,0
80910.917441368,545,32,7252,0
80911.017398357,545,32,7223,0
80911.118440151,545,32,7259,0
80911.217225313,545,32,7232,0
80911.317463874,545,32,7237,0
80911.417332172,545,32,7263,0
80911.517537832,545,32,7259,0
80911.617485284,545,32,7259,0
80911.717425823,545,32,7250,0
80911.817355632,545,32,7241,0
80911.917365074,545,32,7254,0
80912.017483949,545,32,7270,0
80912.117582082,545,32,7241,0
80912.217458009,545,32,7248,0
80912.317536354,545,32,7217,0
80912.417449712,545,32,7252,0
80912.517406463,545,32,7241,0
80912.617422103,545,32,7259,0
80912.717375755,545,32,7241,0
80912.817550182,545,32,7223,0
80912.917289972,545,32,7223,0
80913.017281532,545,32,7241,0
80913.117370367,545,32,7199,0
80913.217331647,545,32,7230,0
80913.317342519,545,32,7237,0
80913.417389631,545,32,7241,0
80913.517462491,545,32,7254,0
80913.617350816,545,32,7219,0
80913.717366218,545,32,7237,0
80913.817384719,545,32,7252,0
80913.917505979,545,32,7246,0
80914.01764369,548,32,7228,0
80914.117401599,543,32,7230,0
80914.222915172,546,32,7254,0
80914.317662715,544,32,7239,0
80914.417615175,545,32,7246,0
80914.517499208,543,32,7208,0
80914.617459297,545,32,7239,0
80914.717678785,544,32,7250,0
80914.817625522,543,32,7234,0
80914.917406797,544,32,7241,0
80915.017372369,544,32,7261,0
80915.117506027,544,32,7214,0
80915.2175498,544,32,7228,0
80915.317581892,544,32,7232,0
80915.417455673,544,32,7243,0
80915.517396688,544,32,7234,0
80915.617382049,544,32,7228,0
80915.717467308,543,32,7223,0
80915.817489624,544,32,7239,0
80915.917429208,544,32,7268,0
80916.017374515,544,32,7257,0
80916.117345809,544,32,7214,0
80916.217780113,550,32,7230,0
80916.317530393,541,32,7234,0
80916.417383432,545,32,7250,0
80916.517450571,543,32,7150,0
80916.617355823,543,32,7230,0
80916.717367887,543,32,7188,0
80916.817539215,543,32,7159,0
80916.917612552,541,32,7192,0
80917.017503738,543,32,7232,0
80917.117307186,543,32,7199,0
80917.217457771,543,32,7183,0
80917.31753683,543,32,7228,0
80917.417437791,543,32,7192,0
80917.517361164,542,32,7197,0
80917.617372989,543,32,7234,0
80917.717406511,543,32,7239,0
80917.817370653,543,32,7237,0
80917.917411088,543,32,7163,0
80918.017377614,544,32,7228,0
80918.117543935,544,32,7190,0
80918.217392206,543,32,7252,0
80918.317538738,543,32,7177,0
80918.417478561,544,32,7214,0
80918.517410755,543,33,7217,0
80918.617564678,543,33,7228,0
80918.717476367,543,33,7206,0
80918.817553758,543,33,7170,0
80918.917969465,543,33,7199,0
80919.017441987,544,33,7226,0
80919.117539405,543,33,7232,0
80919.217553138,543,33,7221,0
80919.317485809,543,33,7259,0
80919.417390346,543,33,7237,0
80919.517413616,543,33,7199,0
80919.648169994,544,33,7192,0
80919.74012041,544,33,7250,0
80919.822542667,543,33,7237,0
80919.930999994,543,33,7250,0
80920.025023937,543,33,7239,0
80920.126221656,544,33,7219,0
80920.217313289,543,33,7252,0
80920.317324399,543,33,7223,0
80920.425657033,543,33,6973,0
80920.525542497,543,33,7237,0
80920.620385885,544,33,7270,0
80920.718374967,543,33,7206,0
80920.862853527,543,33,7221,0
80920.93558216,543,33,7199,0
80921.069802045,544,33,7248,0
80921.19937849,543,33,7179,0
80921.296986818,543,33,7170,0
80921.397763729,543,33,7212,0
80921.480131864,544,33,7234,0
80921.575753927,543,34,7265,0
80921.676671504,543,34,7197,0
80921.783946514,543,34,7210,0
80921.898396015,543,34,7206,0
80921.989752292,543,34,7243,0
80922.082160472,544,34,7214,0
80922.180184841,543,34,7157,0
80922.332703113,544,34,7230,0
80922.430015802,543,34,7232,0
80922.534131526,543,34,7234,0
80922.622513294,544,34,7239,0
80922.715120553,543,34,7195,0
80922.82194519,543,34,7234,0
80922.922483682,543,34,7239,0
80923.008450984,543,34,7210,0
80923.115575313,543,34,7228,0
80923.221724748,543,34,7212,0
80923.325559139,543,34,7243,0
80923.431780815,543,34,7228,0
80923.526281833,543,34,7214,0
80923.612101554,543,34,7195,0
80923.684346675,543,34,7172,0
80923.760230302,543,34,7246,0
80923.829678535,543,34,7228,0
80923.917379856,543,34,7172,0
80924.01734519,543,34,7241,0
80924.117406129,543,34,7199,0
80924.217404127,543,34,7175,0
80924.317355632,543,34,7186,0
80924.417554855,543,34,7197,0
80924.517351388,543,34,7221,0
80924.628334283,543,34,7203,0
80924.717472314,543,34,7230,0
80924.817388057,542,34,7221,0
80924.917424201,543,34,7214,0
80925.017527818,544,34,7243,0
80925.118019104,543,35,7210,0
80925.217312335,544,35,7232,0
80925.317404747,544,35,7223,0
80925.417495489,543,35,7226,0
80925.517474412,543,35,7132,0
80925.617364883,543,35,7203,0
80925.717365026,543,35,7219,0
80925.817353963,543,35,7246,0
