time,position,temperature,voltage,label
77350.188506364,824,26,7265,0
77350.288503408,824,26,7252,0
77350.388476848,823,26,7195,0
77350.488516092,823,26,7261,0
77350.588651418,823,26,7252,0
77350.688478231,823,26,7234,0
77350.788518905,823,26,7217,0
77350.888716459,824,26,7241,0
77350.988455772,824,26,7239,0
77351.088450193,823,26,7237,0
77351.188579082,824,26,7232,0
77351.288621664,823,26,7243,0
77351.388499259,823,26,7177,0
77351.488480567,824,26,7188,0
77351.588476419,823,26,7250,0
77351.68844676,823,26,7254,0
77351.788487911,823,26,7254,0
77351.888538599,824,26,7250,0
77351.988514661,823,26,7239,0
77352.088439464,823,26,7257,0
77352.188414096,824,26,7230,0
77352.288503646,823,26,7239,0
77352.38847661,823,26,7190,0
77352.488619089,824,26,7239,0
77352.588490962,823,26,7241,0
77352.688440322,824,26,7259,0
77352.788460254,823,26,7257,0
77352.888536214,824,26,7279,0
77352.988485574,823,26,7206,0
77353.088436126,823,26,7217,0
77353.188451766,823,26,7246,0
77353.288491487,823,26,7208,0
77353.388515949,824,26,7268,0
77353.488493204,823,26,7261,0
77353.588556051,823,26,7243,0
77353.688575744,823,26,7248,0
77353.788761138,823,26,7188,0
77353.888576269,823,26,7248,0
77353.988514184,824,26,7248,0
77354.089098691,823,26,7250,0
77354.188609123,823,26,7250,0
77354.288836002,823,26,7254,0
77354.388754844,823,26,7246,0
77354.488624572,823,26,7257,0
77354.588605403,824,26,7268,0
77354.688800573,823,26,7243,0
77354.788512468,823,26,7250,0
77354.888545274,823,26,7252,0
77354.988495826,823,26,7248,0
77355.088556528,823,26,7250,0
77355.188459157,824,26,7175,0
77355.288622379,823,26,7181,0
77355.388652563,823,26,7254,0
77355.48846054,824,26,7241,0
77355.5886662,823,26,7248,0
77355.688628673,823,26,7237,0
77355.788650035,823,26,7159,0
77355.888464212,824,26,7246,0
77355.988494157,823,26,7208,0
77356.088644027,824,26,7248,0
77356.188571453,823,26,7155,0
77356.288540363,823,26,7259,0
77356.388412237,823,26,7243,0
77356.488540887,823,26,7246,0
77356.588413715,823,26,7241,0
77356.68856883,823,26,7254,0
77356.788528442,823,26,7232,0
77356.888444423,823,26,7248,0
77356.988530874,823,26,7257,0
77357.088688373,823,26,7179,0
77357.202961921,823,26,7250,0
77357.288463592,823,26,7177,0
77357.388521671,824,26,7203,0
77357.488440036,824,26,7239,0
77357.592077016,823,26,7166,0
77357.688440322,823,26,7241,0
77357.788597583,824,26,7212,0
77357.901472091,823,26,7166,0
77358.030183792,823,26,7250,0
77358.11281538,823,26,7259,0
77358.188538074,823,26,7252,0
77358.288647413,823,26,7223,0
77358.38862586,823,26,7248,0
77358.48877263,823,26,7261,0
77358.588931083,823,26,7272,0
77358.688663721,823,26,7168,0
77358.788498878,824,26,7252,0
77358.88854146,823,26,7248,0
77358.988653898,823,26,7166,0
77359.088675737,823,26,7234,0
77359.188482761,823,26,7239,0
77359.295847177,824,26,7241,0
77359.388465404,823,26,7232,0
77359.48851633,823,26,7239,0
77359.588707923,823,26,7170,0
77359.688851356,823,26,7268,0
77359.788709163,823,26,7217,0
77359.888292074,823,26,7237,0
77359.988594293,823,26,7243,0
77360.089518785,824,26,7157,0
77360.18858385,823,26,7183,0
77360.28860712,824,26,7252,0
77360.388527393,823,26,7161,0
77360.48854041,823,26,7157,0
77360.588511228,823,26,7257,0
77360.688458442,823,26,7241,0
77360.788439989,824,26,7246,0
77360.888438463,824,26,7252,0
77360.988549232,823,26,7206,0
77361.15489459,823,26,7232,0
77361.261510372,823,26,7243,0
77361.351011753,823,26,7192,0
77361.471935749,823,26,7248,0
77361.57553339,823,26,7252,0
77361.669110059,823,26,7168,0
77361.759415149,823,26,7234,0
77361.851940393,823,26,7199,0
77361.920006752,823,26,7241,0
77362.016052007,823,26,7172,0
77362.095153093,823,26,7243,0
77362.188476562,823,26,7219,0
77362.28847289,823,26,7252,0
77362.390510082,823,26,7239,0
77362.488523721,823,26,7177,0
77362.588345289,824,26,7241,0
77362.688485383,823,26,7241,0
77362.788474082,823,26,7252,0
77362.888511657,823,26,7237,0
77362.98862791,823,26,7237,0
77363.088551282,824,26,7248,0
77363.188633918,823,26,7230,0
77363.288566112,823,26,7250,0
77363.388495922,823,26,7181,0
77363.488681316,823,26,7219,0
77363.588486671,823,26,7248,0
77363.688622236,823,26,7226,0
77363.788405418,823,26,7243,0
77363.88848114,824,26,7237,0
77363.988504886,823,26,7239,0
77364.088515043,823,26,7212,0
77364.188553571,823,26,7248,0
77364.288474798,824,26,7237,0
77364.388429164,823,26,7217,0
77364.48845911,823,26,7234,0
77364.588414907,824,26,7163,0
77364.688444137,823,26,7152,0
77364.78845191,824,26,7239,0
77364.888608932,823,26,7250,0
77364.988454341,823,26,7179,0
77365.088455677,824,26,7237,0
77365.188884973,823,26,7246,0
77365.288588047,823,26,7252,0
77365.388556957,824,26,7241,0
77365.488404989,823,26,7163,0
77365.716991901,823,26,7250,0
77365.819265127,823,26,7254,0
77365.95240426,823,26,7265,0
77366.040247917,823,26,7283,0
77366.11677432,824,26,7268,0
77366.210621118,823,26,7272,0
77366.314298152,823,26,7246,0
77366.414490222,823,26,7181,0
77366.492812871,824,26,7166,0
77366.579675197,823,26,7208,0
77366.715865373,824,26,7250,0
77366.812787294,824,26,7172,0
77366.883072614,823,26,7175,0
77366.950128793,824,26,7197,0
77367.022988319,823,26,7181,0
77367.098466873,823,26,7186,0
77367.188542604,823,26,7183,0
77367.288499116,824,26,7248,0
77367.388504505,823,26,7239,0
77367.488740205,823,26,7246,0
77367.58844757,823,26,7223,0
77367.689121007,823,26,7241,0
77367.788535118,824,26,7241,0
77367.888530969,823,26,7234,0
77367.988708257,823,26,7228,0
77368.088503599,824,26,7243,0
77368.188462734,823,26,7239,0
77368.288468122,823,26,7234,0
77368.388455152,824,26,7241,0
77368.488550662,823,26,7181,0
77368.588529109,823,26,7252,0
77368.688520431,823,26,7263,0
77368.788464784,823,26,7190,0
77368.888458967,824,26,7265,0
77368.988493919,823,26,7274,0
77369.088492393,823,26,7246,0
77369.188512086,823,26,7263,0
77369.288417816,824,26,7239,0
77369.388473272,824,26,7208,0
77369.488478183,824,26,7212,0
77369.588447332,824,26,7188,0
77369.68847227,823,26,7250,0
77369.788479804,823,26,7254,0
77369.888523101,823,26,7248,0
77369.988473653,823,26,7259,0
77370.088472843,823,26,7246,0
77370.188642501,823,26,7252,0
77370.288521766,823,26,7254,0
77370.38856101,823,26,7257,0
77370.48848772,824,26,7257,0
77370.588466405,823,26,7250,0
77370.688477993,823,26,7250,0
77370.788509845,823,26,7250,0
77370.888539314,823,26,7259,0
77370.988584756,824,26,7257,0
77371.088528394,823,26,7261,0
77371.188470363,823,26,7192,0
77371.288422107,823,26,7252,0
77371.388555049,823,26,7230,0
77371.488505363,823,26,7241,0
77371.588549852,824,26,7268,0
77371.688498973,823,26,7248,0
77371.788640975,823,26,7168,0
77371.888545989,823,26,7139,0
77371.988547563,823,26,7175,0
77372.088546991,823,26,7239,0
77372.188479661,823,26,7232,0
77372.288486957,823,26,7246,0
77372.388512611,824,26,7234,0
77372.488521099,824,26,7257,0
77372.588564634,823,26,7250,0
77372.688619375,824,26,7250,0
77372.788648605,823,26,7163,0
77372.888677597,823,26,7230,0
77372.98840475,824,26,7230,0
77373.088445186,823,26,7170,0
77373.188512802,824,26,7254,0
77373.288534879,824,26,7239,0
77373.388452768,824,26,7181,0
77373.48855853,823,26,7243,0
77373.588396072,824,26,7197,0
77373.688453674,824,26,7254,0
77373.788455486,824,26,7257,0
77373.888520002,824,26,7279,0
77373.988509178,823,26,7212,0
