Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.10514441258108E-05,0.0847012522099994,0.0164648413319623,0,0,0,0.14218630513382,0.000496898305948276,-7.77747006198581E-10,1.27101623803525E-10,0.000189937788496731,-1.87659882279689E-06,0.00067373488025892,0,0,0,0,0,0,package://armpi_fpv/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/base_link.STL,,8.stp-1/图块 02.stp-1,coordinate_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00168981966123963,0.0075348757243057,0.0271899064600945,0,0,0,0.0452790416824113,1.05153432936465E-05,-2.45709904842584E-09,1.3506766153482E-09,8.00323889728211E-06,-1.29532171297866E-07,1.62066388412241E-05,0,0,0,0,0,0,package://armpi_fpv/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/link1.STL,,8.stp-1/图块 01.stp-1,coordinate1,joint1,joint1,revolute,0,0,0.028505,0,0,0,base_link,0,0,1,1000,5,-2.09,2.09,,,,,,,,
link2,-0.051433709022055,3.94868908072527E-05,-0.0287656411829065,0,0,0,0.0263788808453871,8.33779335463549E-06,-1.8645492951656E-09,5.82380553104986E-10,1.12140214081412E-05,-1.17475624228008E-13,5.77893922807374E-06,0,0,0,0,0,0,package://armpi_fpv/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/link2.STL,,8.stp-1/图块 03.stp-1,coordinate2,joint2,joint2,revolute,0.028341,0.0011416,0.0361,0,1.5708,0,link1,0,0,-1,1000,5,-1.57,1.57,,,,,,,,
link3,-0.047357268447719,1.15034695206684E-05,0.0194535646919188,0,0,0,0.0529020241509151,3.53420643934188E-06,-2.59829819930557E-10,1.15458033721174E-11,9.15819967131678E-06,1.38029842068162E-10,1.02640672533176E-05,0,0,0,0,0,0,package://armpi_fpv/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/link3.STL,,8.stp-1/图块 04.stp-1,coordinate3,joint3,joint3,revolute,-0.10048,7.077E-05,-0.0072486,-3.1416,0,0,link2,0,0,-1,1000,5,-2.09,2.09,,,,,,,,
link4,0.0360210387535348,0.00145638574988094,0.0209231379830454,0,0,0,0.0415274652346176,1.09576903021252E-05,3.61541379962307E-07,-2.60048902653247E-10,8.68947159353401E-06,7.91541330762453E-10,8.98890313306291E-06,0,0,0,0,0,0,package://armpi_fpv/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/link4.STL,,8.stp-1/图块 06.stp-1,coordinate4,joint4,joint4,revolute,-0.094714,0,0.00050472,0,0,3.1416,link3,0,0,-1,1000,5,-2.09,2.09,,,,,,,,
link5,9.65922422541251E-07,-1.21323363007353E-06,0.00361231501816889,0,0,0,0.000976294869338767,2.6474581153074E-08,-5.28755986130622E-12,5.39611433827061E-12,2.64215679151736E-08,-7.61153155809371E-12,5.02678276845491E-08,0,0,0,0,0,0,package://armpi_fpv/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/link5.STL,,8.stp-1/图块 07.stp-1,coordinate5,joint5,joint5,revolute,0.050326,0,0.020802,0.00030041,1.5708,0.00030041,link4,0.00021568,-0.00031154,1,1000,5,-2.09,2.09,,,,,,,,
gripper_base,-0.00311622702310643,-0.0143173636485176,0.0310077983364337,0,0,0,0.0176105871345009,1.5708815504179E-06,2.51402116906045E-08,2.26426177315553E-08,4.12752565554833E-06,5.90507564364137E-10,3.26180194932723E-06,0,0,0,0,0,0,package://armpi_fpv/meshes/gripper_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/gripper_base.STL,,8.stp-1/图块 08.stp-1,coordinate5,joint5,gripper_base_joint,fixed,0,0,0,0,0,0,link5,0,0,0,,,,,,,,,,,,
r_link,-0.00451233010648128,-0.0043487427763603,0.00150000300415418,0,0,0,0.00206265425539028,2.27206715089548E-07,-1.19760468530682E-07,-5.52626664649217E-14,1.73118448241303E-07,3.62122196608989E-14,3.97231131418846E-07,0,0,0,0,0,0,package://armpi_fpv/meshes/r_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/r_link.STL,,8.stp-1/图块 09.stp-1,coordinate6,joint6,r_joint,revolute,-0.0139894078391691,0.00748363470422006,0.0325463882109913,-1.57247019267316,0.810631638098762,3.14159265358979,gripper_base,0,0,-1,1000,5,-1.57,1.57,,,,,,,,
r_in_link,-0.00954065352333311,-0.0109190627046148,0.00599999999999823,0,0,0,0.000776872870583588,5.63560750477043E-08,-4.72744633557675E-08,-3.79461916645956E-21,4.3559232177442E-08,-2.93776829619259E-21,9.87500191506991E-08,0,0,0,0,0,0,package://armpi_fpv/meshes/r_in_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/r_in_link.STL,,8.stp-1/图块 13.stp-1,coordinate7,joint7,r_in_joint,continuous,-0.0049852,0.0074925,0.051518,-1.5725,0.81127,3.1416,gripper_base,0,0,-1,,,,,,,,,,,,
r_out_link,0.0092120009915127,-0.00318450713637317,-0.00148003689311803,0,0,0,0.00384736745316057,3.94300335300673E-08,-7.61671057300206E-09,-9.59541277441842E-12,8.50841629381356E-07,2.65061801639526E-13,8.77392844404812E-07,0,0,0,0,0,0,package://armpi_fpv/meshes/r_out_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armpi_fpv/meshes/r_out_link.STL,,8.stp-1/图块 15.stp-1,coordinate8,joint8,r_out_joint,continuous,-0.019083,-0.021839,0.0045,-3.1413,0.00090624,-2.5695,r_in_link,0,0,-1,,,,,,,,,,,,
